ds,y
1565913594000,53.49
1565913534000,53.30
1565913474000,55.25
1565913414000,54.01
1565913354000,55.34
1565913294000,55.65
1565913234000,61.06
1565913174000,60.89
1565913114000,61.81
1565913054000,61.10
1565912994000,57.36
1565912934000,60.81
1565912874000,58.10
1565912814000,54.85
1565912754000,56.95
1565912694000,54.01
1565912634000,56.24
1565912574000,61.80
1565912514000,59.48
1565912454000,57.80
1565912394000,53.02
1565912334000,52.01
1565912274000,47.59
1565912214000,50.46
1565912154000,55.41
1565912094000,58.82
1565912034000,58.42
1565911974000,61.42
1565911914000,59.36
1565911854000,58.17
1565911794000,55.03
1565911734000,61.38
1565911674000,57.26
1565911614000,59.48
1565911554000,60.02
1565911494000,59.56
1565911434000,56.96
1565911374000,59.29
1565911314000,58.25
1565911254000,57.77
1565911194000,58.02
1565911134000,57.60
1565911074000,57.05
1565911014000,59.45
1565910954000,127.85
1565910894000,152.47
1565910834000,126.03
1565910774000,57.58
1565910714000,56.50
1565910654000,66.12
1565910594000,59.99
1565910534000,97.98
1565910474000,128.69
1565910414000,137.55
1565910354000,93.16
1565910294000,58.16
1565910234000,56.25
1565910174000,63.32
1565910114000,61.96
1565910054000,137.31
1565909994000,159.28
1565909934000,159.87
1565909874000,63.08
1565909814000,55.12
1565909754000,56.41
1565909694000,55.89
1565909634000,67.57
1565909574000,219.72
1565909514000,203.02
1565909454000,194.88
1565909394000,68.91
1565909334000,58.27
1565909274000,55.41
1565909214000,55.13
1565909154000,81.21
1565909094000,210.97
1565909034000,214.77
1565908974000,189.79
1565908914000,60.79
1565908854000,56.36
1565908794000,51.68
1565908734000,51.61
1565908674000,79.60
1565908614000,174.80
1565908554000,195.62
1565908494000,187.43
1565908434000,59.41
1565908374000,58.50
1565908314000,59.62
1565908254000,56.00
1565908194000,82.99
1565908134000,132.44
1565908074000,121.90
1565908014000,106.01
1565907954000,57.04
1565907894000,56.13
1565907834000,56.43
1565907774000,56.78
1565907714000,114.43
1565907654000,149.38
1565907594000,126.53
1565907534000,102.77
1565907474000,54.12
1565907414000,55.64
1565907354000,56.97
1565907294000,59.49
1565907234000,138.42
1565907174000,160.49
1565907114000,203.60
1565907054000,114.33
1565906994000,56.09
1565906934000,57.84
1565906874000,56.57
1565906814000,56.69
1565906754000,124.23
1565906694000,153.32
1565906634000,152.93
1565906574000,78.17
1565906514000,58.82
1565906454000,57.55
1565906394000,51.14
1565906334000,56.47
1565906274000,169.96
1565906214000,147.43
1565906154000,139.88
1565906094000,53.22
1565906034000,53.98
1565905974000,57.86
1565905914000,56.16
1565905854000,144.99
1565905794000,182.41
1565905734000,192.23
1565905674000,139.55
1565905614000,56.23
1565905554000,55.73
1565905494000,57.40
1565905434000,57.23
1565905374000,139.75
1565905314000,186.48
1565905254000,159.69
1565905194000,104.04
1565905134000,48.61
1565905074000,47.84
1565905014000,47.69
1565904954000,53.72
1565904894000,174.96
1565904834000,191.55
1565904774000,184.55
1565904714000,131.22
1565904654000,54.66
1565904594000,54.11
1565904534000,47.52
1565904474000,50.56
1565904414000,131.58
1565904354000,144.56
1565904294000,147.73
1565904234000,56.45
1565904174000,57.27
1565904114000,54.70
1565904054000,55.20
1565903994000,74.59
1565903934000,188.88
1565903874000,187.93
1565903814000,164.76
1565903754000,57.38
1565903694000,58.64
1565903634000,55.28
1565903574000,56.34
1565903514000,66.87
1565903454000,166.56
1565903394000,149.90
1565903334000,133.81
1565903274000,51.02
1565903214000,51.55
1565903154000,54.04
1565903094000,54.22
1565903034000,121.90
1565902974000,198.51
1565902914000,186.41
1565902854000,144.01
1565902794000,56.47
1565902734000,56.67
1565902674000,55.14
1565902614000,63.18
1565902554000,106.36
1565902494000,180.12
1565902434000,191.75
1565902374000,149.15
1565902314000,58.40
1565902254000,57.57
1565902194000,52.08
1565902134000,54.90
1565902074000,98.32
1565902014000,150.54
1565901954000,162.49
1565901894000,173.19
1565901834000,174.62
1565901774000,188.65
1565901714000,175.86
1565901654000,157.16
1565901594000,153.36
1565901534000,166.55
1565901474000,155.35
1565901414000,165.70
1565901354000,99.31
1565901294000,64.95
1565901234000,56.18
1565901174000,59.97
1565901114000,60.54
1565901054000,61.93
1565900994000,50.33
1565900934000,54.46
1565900874000,56.00
1565900814000,56.78
1565900754000,57.35
1565900694000,56.76
1565900634000,56.32
1565900574000,56.70
1565900514000,58.26
1565900454000,54.50
1565900394000,54.92
1565900334000,54.94
1565900274000,55.81
1565900214000,59.84
1565900154000,55.44
1565900094000,56.77
1565900034000,55.83
1565899974000,56.69
1565899914000,56.67
1565899854000,56.61
1565899794000,54.21
1565899734000,54.28
1565899674000,58.31
1565899614000,56.50
1565899554000,58.34
1565899494000,59.43
1565899434000,52.95
1565899374000,57.03
1565899314000,56.06
1565899254000,57.93
1565899194000,57.85
1565899134000,58.67
1565899074000,58.70
1565899014000,57.83
1565898954000,57.11
1565898894000,56.00
1565898834000,56.45
1565898774000,56.75
1565898714000,56.98
1565898654000,58.84
1565898594000,57.48
1565898534000,58.34
1565898474000,55.21
1565898414000,56.89
1565898354000,57.05
1565898294000,57.07
1565898234000,55.42
1565898174000,55.87
1565898114000,57.03
1565898054000,57.62
1565897994000,56.46
1565897934000,53.01
1565897874000,55.58
1565897814000,56.07
1565897754000,56.48
1565897694000,56.83
1565897634000,55.77
1565897574000,55.23
1565897514000,57.46
1565897454000,60.71
1565897394000,57.75
1565897334000,59.33
1565897274000,57.53
1565897214000,58.13
1565897154000,58.44
1565897094000,61.43
1565897034000,55.65
1565896974000,56.33
1565896914000,55.02
1565895654000,50.38
1565895594000,51.73
1565895534000,56.73
1565895474000,61.01
1565895414000,58.28
1565895354000,56.37
1565895294000,55.08
1565895234000,55.23
1565895174000,56.60
1565895114000,55.89
1565895054000,56.56
1565894994000,56.32
1565894934000,56.21
1565894874000,55.32
1565894814000,56.14
1565894754000,56.89
1565894694000,57.74
1565894634000,57.45
1565894574000,55.88
1565894514000,56.28
1565894454000,56.01
1565894394000,54.02
1565894334000,51.43
1565894274000,52.29
1565894214000,54.55
1565894154000,55.82
1565894094000,55.73
1565894034000,55.87
1565893974000,59.08
1565893914000,58.89
1565893854000,60.36
1565893794000,56.10
1565893734000,55.26
1565893674000,56.05
1565893614000,56.90
