ds,y
1565913594000,157.30
1565913534000,152.70
1565913474000,153.15
1565913414000,154.98
1565913354000,142.83
1565913294000,162.30
1565913234000,206.12
1565913174000,215.17
1565913114000,258.40
1565913054000,244.73
1565912994000,223.97
1565912934000,220.30
1565912874000,219.15
1565912814000,153.23
1565912754000,142.68
1565912694000,154.33
1565912634000,191.00
1565912574000,215.62
1565912514000,239.27
1565912454000,186.75
1565912394000,166.58
1565912334000,151.67
1565912274000,116.60
1565912214000,147.52
1565912154000,191.28
1565912094000,240.42
1565912034000,284.40
1565911974000,259.95
1565911914000,239.87
1565911854000,186.10
1565911794000,164.27
1565911734000,338.45
1565911674000,351.52
1565911614000,393.72
1565911554000,377.85
1565911494000,427.07
1565911434000,446.80
1565911374000,430.05
1565911314000,458.83
1565911254000,458.48
1565911194000,467.02
1565911134000,470.28
1565911074000,462.60
1565911014000,412.98
1565910954000,560.12
1565910894000,693.48
1565910834000,679.03
1565910774000,406.32
1565910714000,238.22
1565910654000,176.73
1565910594000,385.23
1565910534000,408.48
1565910474000,625.67
1565910414000,676.00
1565910354000,525.52
1565910294000,431.57
1565910234000,479.82
1565910174000,441.32
1565910114000,449.05
1565910054000,439.62
1565909994000,439.72
1565909934000,446.92
1565909874000,235.93
1565909814000,185.65
1565909754000,182.83
1565909694000,212.92
1565909634000,233.20
1565909574000,405.18
1565909514000,479.85
1565909454000,432.82
1565909394000,273.67
1565909334000,242.25
1565909274000,219.93
1565909214000,211.80
1565909154000,209.17
1565909094000,418.63
1565909034000,437.50
1565908974000,470.80
1565908914000,261.97
1565908854000,186.42
1565908794000,165.88
1565908734000,177.17
1565908674000,155.48
1565908614000,442.52
1565908554000,498.85
1565908494000,502.63
1565908434000,286.50
1565908374000,254.45
1565908314000,279.58
1565908254000,209.45
1565908194000,177.43
1565908134000,585.42
1565908074000,657.63
1565908014000,559.80
1565907954000,371.90
1565907894000,374.25
1565907834000,386.32
1565907774000,404.08
1565907714000,539.03
1565907654000,646.22
1565907594000,685.05
1565907534000,566.95
1565907474000,444.23
1565907414000,434.15
1565907354000,425.88
1565907294000,358.47
1565907234000,505.70
1565907174000,616.83
1565907114000,452.52
1565907054000,329.08
1565906994000,340.67
1565906934000,372.75
1565906874000,357.05
1565906814000,348.67
1565906754000,612.62
1565906694000,609.75
1565906634000,700.00
1565906574000,546.07
1565906514000,424.20
1565906454000,339.72
1565906394000,128.45
1565906334000,139.08
1565906274000,365.72
1565906214000,435.60
1565906154000,412.18
1565906094000,153.67
1565906034000,185.43
1565905974000,205.78
1565905914000,195.38
1565905854000,269.82
1565905794000,462.10
1565905734000,444.60
1565905674000,437.63
1565905614000,212.00
1565905554000,225.72
1565905494000,201.82
1565905434000,192.43
1565905374000,275.70
1565905314000,495.42
1565905254000,439.83
1565905194000,325.23
1565905134000,170.17
1565905074000,170.52
1565905014000,171.18
1565904954000,207.68
1565904894000,346.25
1565904834000,471.20
1565904774000,515.98
1565904714000,399.93
1565904654000,216.65
1565904594000,173.77
1565904534000,128.93
1565904474000,153.17
1565904414000,276.97
1565904354000,441.60
1565904294000,441.48
1565904234000,219.78
1565904174000,200.87
1565904114000,192.82
1565904054000,165.88
1565903994000,201.47
1565903934000,434.43
1565903874000,440.75
1565903814000,455.98
1565903754000,232.03
1565903694000,196.10
1565903634000,188.90
1565903574000,193.52
1565903514000,212.13
1565903454000,406.72
1565903394000,414.87
1565903334000,409.40
1565903274000,177.93
1565903214000,201.95
1565903154000,189.30
1565903094000,269.10
1565903034000,372.00
1565902974000,470.38
1565902914000,516.67
1565902854000,497.68
1565902794000,273.60
1565902734000,233.28
1565902674000,214.78
1565902614000,250.83
1565902554000,321.40
1565902494000,456.18
1565902434000,475.47
1565902374000,434.13
1565902314000,292.53
1565902254000,195.00
1565902194000,185.98
1565902134000,194.27
1565902074000,253.23
1565902014000,454.83
1565901954000,467.92
1565901894000,477.35
1565901834000,467.38
1565901774000,442.38
1565901714000,491.45
1565901654000,508.60
1565901594000,474.18
1565901534000,485.97
1565901474000,468.38
1565901414000,486.40
1565901354000,464.40
1565901294000,622.28
1565901234000,717.12
1565901174000,686.45
1565901114000,512.12
1565901054000,308.62
1565900994000,160.22
1565900934000,206.68
1565900874000,227.90
1565900814000,253.37
1565900754000,226.45
1565900694000,239.98
1565900634000,245.28
1565900574000,235.73
1565900514000,283.72
1565900454000,308.87
1565900394000,347.23
1565900334000,326.18
1565900274000,363.25
1565900214000,292.80
1565900154000,336.95
1565900094000,308.82
1565900034000,234.82
1565899974000,264.47
1565899914000,302.17
1565899854000,275.53
1565899794000,266.70
1565899734000,265.67
