ds,y
1565913594000,115.78
1565913534000,123.62
1565913474000,117.93
1565913414000,124.64
1565913354000,114.30
1565913294000,119.74
1565913234000,120.60
1565913174000,117.80
1565913114000,108.26
1565913054000,107.81
1565912994000,110.39
1565912934000,114.47
1565912874000,111.99
1565912814000,113.63
1565912754000,111.62
1565912694000,117.72
1565912634000,116.54
1565912574000,112.90
1565912514000,112.27
1565912454000,105.69
1565912394000,114.31
1565912334000,115.63
1565912274000,115.14
1565912214000,113.25
1565912154000,112.01
1565912094000,113.58
1565912034000,116.77
1565911974000,114.40
1565911914000,108.63
1565911854000,105.31
1565911794000,111.71
1565911734000,115.54
1565911674000,117.30
1565911614000,113.10
1565911554000,116.96
1565911494000,114.76
1565911434000,116.60
1565911374000,110.40
1565911314000,105.33
1565911254000,104.36
1565911194000,109.17
1565911134000,110.12
1565911074000,112.32
1565911014000,112.39
1565910954000,108.03
1565910894000,112.23
1565910834000,112.79
1565910774000,106.21
1565910714000,114.67
1565910654000,112.38
1565910594000,111.71
1565910534000,136.75
1565910474000,124.48
1565910414000,113.30
1565910354000,118.21
1565910294000,114.86
1565910234000,110.80
1565910174000,106.82
1565910114000,104.96
1565910054000,105.68
1565909994000,111.13
1565909934000,110.76
1565909874000,109.39
1565909814000,110.57
1565909754000,107.90
1565909694000,108.12
1565909634000,114.09
1565909574000,103.69
1565909514000,104.03
1565909454000,104.08
1565909394000,109.58
1565909334000,111.04
1565909274000,108.34
1565909214000,110.83
1565909154000,103.68
1565909094000,109.46
1565909034000,112.02
1565908974000,106.45
1565908914000,101.43
1565908854000,102.88
1565908794000,109.09
1565908734000,108.77
1565908674000,112.89
1565908614000,115.46
1565908554000,111.69
1565908494000,110.48
1565908434000,114.43
1565908374000,137.72
1565908314000,101.04
1565908254000,103.92
1565908194000,112.46
1565908134000,110.42
1565908074000,116.91
1565908014000,109.99
1565907954000,107.27
1565907894000,107.11
1565907834000,110.39
1565907774000,101.97
1565907714000,100.83
1565907654000,103.04
1565907594000,108.91
1565907534000,108.26
1565907474000,106.46
1565907414000,105.91
1565907354000,107.63
1565907294000,105.77
1565907234000,107.78
1565907174000,107.19
1565907114000,100.98
1565907054000,101.29
1565906994000,110.17
1565906934000,141.28
1565906874000,105.93
1565906814000,108.75
1565906754000,106.08
1565906694000,109.84
1565906634000,105.63
1565906574000,101.24
1565906514000,97.54
1565906454000,99.41
1565906394000,102.71
1565906334000,107.22
1565906274000,104.94
1565906214000,107.70
1565906154000,109.38
1565906094000,104.68
1565906034000,107.92
1565905974000,102.98
1565905914000,97.42
1565905854000,105.98
1565905794000,104.06
1565905734000,112.66
1565905674000,106.13
1565905614000,105.75
1565905554000,104.62
1565905494000,109.84
1565905434000,118.96
1565905374000,105.90
1565905314000,97.75
1565905254000,99.92
1565905194000,103.88
1565905134000,106.06
1565905074000,107.43
1565905014000,109.39
1565904954000,108.91
1565904894000,106.59
1565904834000,105.39
1565904774000,104.40
1565904714000,101.57
1565904654000,101.47
1565904594000,108.10
1565904534000,105.26
1565904474000,106.76
1565904414000,106.54
1565904354000,104.35
1565904294000,111.55
1565904234000,110.71
1565904174000,105.38
1565904114000,100.07
1565904054000,108.61
1565903994000,106.30
1565903934000,108.95
1565903874000,107.35
1565903814000,107.02
1565903754000,105.66
1565903694000,109.25
1565903634000,109.48
1565903574000,107.65
1565903514000,102.54
1565903454000,102.36
1565903394000,105.31
1565903334000,105.78
1565903274000,106.22
1565903214000,102.25
1565903154000,103.66
1565903094000,106.89
1565903034000,106.42
1565902974000,108.55
1565902914000,104.31
1565902854000,109.15
1565902794000,106.94
1565902734000,111.11
1565902674000,107.30
1565902614000,107.98
1565902554000,102.80
1565902494000,112.68
1565902434000,106.22
1565902374000,103.79
1565902314000,103.41
1565902254000,109.73
1565902194000,105.89
1565902134000,135.22
1565902074000,140.45
1565902014000,126.56
1565901954000,110.16
1565901894000,114.70
1565901834000,111.04
1565901774000,113.67
1565901714000,114.67
1565901654000,123.87
1565901594000,119.70
1565901534000,123.26
1565901474000,114.12
1565901414000,109.23
1565901354000,109.41
1565901294000,110.55
1565901234000,108.38
1565901174000,109.36
1565901114000,108.25
1565901054000,106.30
1565900994000,108.36
1565900934000,106.79
1565900874000,108.35
1565900814000,101.41
1565900754000,105.31
1565900694000,105.98
1565900634000,111.22
1565900574000,105.18
1565900514000,108.74
1565900454000,109.27
1565900394000,122.17
1565900334000,113.68
1565900274000,111.28
1565900214000,124.21
1565900154000,107.84
1565900094000,113.69
1565900034000,119.62
1565899974000,106.03
1565899914000,111.48
1565899854000,105.33
1565899794000,108.46
1565899734000,113.02
1565899674000,114.10
1565899614000,106.43
1565899554000,105.69
1565899494000,117.55
1565899434000,121.26
1565899374000,114.03
1565899314000,104.37
1565899254000,106.37
1565899194000,110.96
1565899134000,113.35
1565899074000,112.05
1565899014000,109.21
1565898954000,100.45
1565898894000,104.00
1565898834000,110.84
1565898774000,108.32
1565898714000,107.77
1565898654000,108.50
1565898594000,111.63
1565898534000,114.06
1565898474000,106.99
1565898414000,103.67
1565898354000,104.02
1565898294000,105.16
1565898234000,108.73
1565898174000,108.68
1565898114000,116.86
1565898054000,116.67
1565897994000,121.01
1565897934000,116.66
1565897874000,115.56
1565897814000,108.97
1565897754000,117.68
1565897694000,110.75
1565897634000,114.17
1565897574000,115.61
1565897514000,114.74
1565897454000,122.88
1565897394000,116.84
1565897334000,136.01
1565897274000,121.46
1565897214000,115.80
1565897154000,113.76
1565897094000,121.83
1565897034000,121.13
1565896974000,117.66
1565896914000,112.80
1565895774000,99.59
1565895714000,95.83
1565895654000,106.94
1565895594000,116.21
1565895534000,117.52
1565895474000,129.94
1565895414000,103.68
1565895354000,106.93
1565895294000,106.76
1565895234000,112.36
1565895174000,113.40
1565895114000,108.16
1565895054000,108.00
1565894994000,105.30
1565894934000,111.23
1565894874000,109.89
1565894814000,101.79
1565894754000,102.73
1565894694000,104.70
1565894634000,108.62
1565894574000,107.54
1565894514000,109.03
1565894454000,115.09
1565894394000,114.10
1565894334000,113.16
1565894274000,110.56
1565894214000,105.12
1565894154000,112.60
1565894094000,109.67
1565894034000,110.02
1565893974000,117.73
1565893914000,113.34
1565893854000,119.15
1565893794000,119.13
1565893734000,114.97
1565893674000,107.77
1565893614000,105.27
1565893554000,104.72
1565893494000,110.16
1565893434000,112.49
1565893374000,110.39
1565893314000,104.73
1565893254000,110.89
1565893194000,108.98
1565893134000,110.90
1565893074000,110.97
1565893014000,105.41
1565892954000,103.66
1565892894000,105.94
1565892834000,111.41
1565892774000,112.61
1565892714000,113.62
1565892654000,107.53
1565892594000,102.67
1565892534000,107.34
1565892474000,114.74
1565892414000,101.82
1565892354000,99.75
1565892294000,111.00
1565892234000,114.13
1565892174000,115.71
1565892114000,118.40
1565892054000,117.27
1565891994000,108.67
1565891934000,111.91
1565891874000,107.74
1565891814000,105.94
1565891754000,104.34
1565891694000,107.79
1565891634000,115.34
1565891574000,108.35
1565891514000,108.73
1565891454000,113.60
1565891394000,117.60
1565891334000,112.45
1565891274000,108.51
1565891214000,102.59
1565891154000,102.41
1565891094000,101.72
1565891034000,108.45
1565890974000,102.65
1565890914000,106.82
1565890854000,113.36
1565890794000,111.16
1565890734000,108.43
1565890674000,110.08
1565890614000,107.80
1565890554000,106.04
1565890494000,118.95
1565890434000,112.13
1565890374000,109.22
1565890314000,109.62
1565890254000,125.80
1565890194000,111.33
1565890134000,112.67
1565890074000,110.19
1565890014000,116.52
1565889954000,116.38
1565889894000,109.96
1565889834000,110.39
1565889774000,109.58
1565889714000,109.19
1565889654000,137.91
1565889594000,121.28
1565889534000,111.52
1565889474000,112.50
1565889414000,104.82
1565889354000,106.07
1565889294000,105.72
1565889234000,111.44
1565889174000,112.55
1565889114000,149.55
1565889054000,148.52
1565888994000,116.65
1565888934000,146.67
1565888874000,104.23
1565888814000,125.31
1565888754000,138.61
1565888694000,124.97
1565888634000,111.28
1565888574000,115.37
1565888514000,104.80
1565888454000,110.01
1565888394000,114.64
1565888334000,110.27
1565888274000,109.01
1565888214000,111.19
1565888154000,105.35
1565888094000,108.53
1565888034000,110.86
1565887974000,111.16
1565887914000,106.79
1565887854000,109.74
1565887794000,111.62
1565887734000,109.69
1565887674000,109.25
1565887614000,104.52
1565887554000,102.98
1565887494000,110.55
1565887434000,112.08
1565887374000,111.31
1565887314000,153.70
1565887254000,152.14
1565887194000,114.66
1565887134000,108.08
1565887074000,108.33
1565887014000,106.22
1565886954000,105.68
1565886894000,105.83
1565886834000,110.12
1565886774000,110.00
1565886714000,115.18
1565886654000,141.95
1565886594000,113.44
1565886534000,110.92
1565886474000,111.04
1565886414000,109.11
1565886354000,130.82
1565886294000,123.44
1565886234000,107.01
1565886174000,110.21
1565886114000,128.11
1565886054000,138.52
1565885994000,113.69
1565885934000,111.02
1565885874000,110.87
1565885814000,129.41
1565885754000,104.81
1565885694000,117.00
1565885634000,121.38
1565885574000,106.68
1565885514000,104.72
1565885454000,121.41
1565885394000,105.33
1565885334000,110.55
1565885274000,144.49
1565885214000,106.08
1565885154000,112.55
1565885094000,117.93
1565885034000,118.80
1565884974000,118.81
1565884914000,112.01
1565884854000,119.48
1565884794000,112.95
1565884734000,109.77
1565884674000,107.79
1565884614000,116.15
1565884554000,156.31
1565884494000,108.57
1565884434000,104.90
1565884374000,104.93
1565884314000,123.42
1565884254000,138.42
1565884194000,121.70
1565884134000,107.33
1565884074000,109.44
1565884014000,106.29
1565883954000,115.17
1565883894000,121.28
1565883834000,109.81
1565883774000,107.75
1565883714000,103.46
1565883654000,107.19
1565883594000,107.13
1565883534000,110.21
1565883474000,108.24
1565883414000,108.35
1565883354000,110.92
1565883294000,113.10
1565883234000,113.43
1565883174000,111.38
1565883114000,107.01
1565883054000,112.27
1565882994000,121.62
1565882934000,115.60
1565882874000,123.51
1565882814000,116.86
1565882754000,107.60
1565882694000,104.66
1565882634000,113.47
1565882574000,107.16
1565882514000,102.89
1565882454000,111.88
1565882394000,109.24
1565882334000,107.75
1565882274000,110.27
1565882214000,106.82
1565882154000,119.69
1565882094000,110.36
1565882034000,108.29
1565881974000,112.64
1565881914000,107.31
1565881854000,106.39
1565881794000,112.03
1565881734000,106.69
1565881674000,105.41
1565881614000,104.19
1565881554000,103.97
1565881494000,110.29
1565881434000,117.64
1565881374000,117.10
1565881314000,120.47
1565881254000,126.36
1565881194000,110.68
1565881134000,117.14
1565881074000,111.02
1565881014000,114.56
1565880954000,110.36
1565880894000,118.26
1565880834000,111.89
1565880774000,111.35
1565880714000,105.44
1565880654000,108.45
1565880594000,113.26
1565880534000,115.59
1565880474000,109.45
1565880414000,104.19
1565880354000,105.80
1565880294000,111.38
1565880234000,110.39
1565880174000,107.09
1565880114000,109.22
1565880054000,111.26
1565879994000,118.80
1565879934000,115.10
1565879874000,114.38
1565879814000,107.45
1565879754000,109.73
1565879694000,117.81
1565879634000,130.11
1565879574000,109.88
1565879514000,123.92
1565879454000,113.57
1565879394000,114.41
1565879334000,118.00
1565879274000,112.87
1565879214000,107.10
1565879154000,107.31
1565879094000,108.82
1565879034000,111.56
1565878974000,104.21
1565878914000,109.28
1565878854000,110.01
1565878794000,116.83
1565878734000,110.72
1565878674000,112.02
1565878614000,106.97
1565878554000,109.12
1565878494000,108.90
1565878434000,111.86
1565878374000,102.43
1565878314000,106.71
