ds,y
1565913594000,627.07
1565913534000,652.98
1565913474000,623.98
1565913414000,676.90
1565913354000,746.37
1565913294000,703.60
1565913234000,600.20
1565913174000,607.00
1565913114000,606.95
1565913054000,679.47
1565912994000,672.10
1565912934000,721.78
1565912874000,663.95
1565912814000,762.62
1565912754000,793.00
1565912694000,707.77
1565912634000,688.67
1565912574000,758.18
1565912514000,661.70
1565912454000,675.85
1565912394000,711.10
1565912334000,693.53
1565912274000,748.02
1565912214000,879.47
1565912154000,718.20
1565912094000,712.43
1565912034000,764.17
1565911974000,751.97
1565911914000,768.35
1565911854000,812.20
1565911794000,698.73
1565911734000,805.13
1565911674000,764.07
1565911614000,838.52
1565911554000,733.07
1565911494000,873.87
1565911434000,863.95
1565911374000,758.22
1565911314000,723.13
1565911254000,878.73
1565911194000,792.58
1565911134000,795.47
1565911074000,823.00
1565911014000,914.15
1565910954000,911.72
1565910894000,842.05
1565910834000,955.57
1565910774000,794.42
1565910714000,874.22
1565910654000,972.88
1565910594000,793.65
1565910534000,948.10
1565910474000,818.88
1565910414000,890.63
1565910354000,925.13
1565910294000,903.13
1565910234000,947.98
1565910174000,1014.18
1565910114000,1048.03
1565910054000,955.57
1565909994000,874.33
1565909934000,886.88
1565909874000,920.58
1565909814000,930.17
1565909754000,958.57
1565909694000,923.13
1565909634000,882.60
1565909574000,911.55
1565909514000,878.47
1565909454000,852.00
1565909394000,866.40
1565909334000,937.68
1565909274000,988.43
1565909214000,930.35
1565909154000,955.87
1565909094000,963.07
1565909034000,917.85
1565908974000,998.07
1565908914000,887.40
1565908854000,952.07
1565908794000,846.82
1565908734000,967.03
1565908674000,935.75
1565908614000,943.82
1565908554000,962.57
1565908494000,932.20
1565908434000,967.57
1565908374000,890.90
1565908314000,928.92
1565908254000,1077.43
1565908194000,925.15
1565908134000,943.70
1565908074000,939.70
1565908014000,1024.67
1565907954000,993.15
1565907894000,997.13
1565907834000,872.82
1565907774000,1034.18
1565907714000,941.75
1565907654000,971.08
1565907594000,995.57
1565907534000,1016.65
1565907474000,978.02
1565907414000,1100.12
1565907354000,1013.33
1565907294000,983.52
1565907234000,972.53
1565907174000,980.90
1565907114000,984.43
1565907054000,1047.55
1565906994000,989.10
1565906934000,956.47
1565906874000,1074.37
1565906814000,1004.82
1565906754000,1156.55
1565906694000,930.72
1565906634000,1115.57
1565906574000,1074.82
1565906514000,1092.13
1565906454000,1114.78
1565906394000,967.43
1565906334000,1004.68
1565906274000,1040.33
1565906214000,1065.55
1565906154000,962.47
1565906094000,1004.70
1565906034000,1024.62
1565905974000,1052.57
1565905914000,947.93
1565905854000,1124.18
1565905794000,1020.57
1565905734000,955.47
1565905674000,1122.97
1565905614000,1063.20
1565905554000,1037.23
1565905494000,992.70
1565905434000,982.87
1565905374000,1062.75
1565905314000,1042.27
1565905254000,1058.65
1565905194000,953.32
1565905134000,1055.37
1565905074000,998.68
1565905014000,1097.63
1565904954000,941.73
1565904894000,978.67
1565904834000,1063.67
1565904774000,1003.53
1565904714000,1038.32
1565904654000,1041.40
1565904594000,926.38
1565904534000,1101.60
1565904474000,948.72
1565904414000,1080.25
1565904354000,1027.08
1565904294000,975.60
1565904234000,984.67
1565904174000,1024.18
1565904114000,1032.88
1565904054000,1028.48
1565903994000,1053.30
1565903934000,982.52
1565903874000,1055.80
1565903814000,1014.68
1565903754000,1039.60
1565903694000,966.02
1565903634000,996.33
1565903574000,1023.28
1565903514000,838.27
1565903454000,1086.80
1565903394000,959.10
1565903334000,943.00
1565903274000,919.33
1565903214000,1129.40
1565903154000,1005.05
1565903094000,1040.52
1565903034000,1089.45
1565902974000,1083.32
1565902914000,1083.02
1565902854000,1065.75
1565902794000,976.52
1565902734000,996.98
1565902674000,1040.63
1565902614000,1007.25
1565902554000,976.77
1565902494000,955.13
1565902434000,986.60
1565902374000,1030.78
1565902314000,1000.93
1565902254000,1001.47
1565902194000,1042.98
1565902134000,888.28
1565902074000,923.53
1565902014000,851.35
1565901954000,931.00
1565901894000,904.68
1565901834000,899.72
1565901774000,992.40
1565901714000,1007.92
1565901654000,862.67
1565901594000,862.80
1565901534000,897.60
1565901474000,818.47
1565901414000,916.37
1565901354000,858.65
1565901294000,1016.53
1565901234000,862.00
1565901174000,1083.75
1565901114000,969.28
1565901054000,1127.30
1565900994000,944.02
1565900934000,1003.35
1565900874000,1028.68
1565900814000,945.55
1565900754000,952.28
1565900694000,1011.85
1565900634000,920.77
1565900574000,1019.53
1565900514000,1017.97
1565900454000,1048.60
1565900394000,931.87
1565900334000,1074.62
1565900274000,1011.05
1565900214000,917.40
1565900154000,957.93
1565900094000,953.92
1565900034000,1045.37
1565899974000,1120.48
1565899914000,1050.68
1565899854000,1135.92
1565899794000,1052.88
1565899734000,923.58
1565899674000,1022.22
1565899614000,1013.93
1565899554000,974.12
1565899494000,1054.62
1565899434000,1122.75
1565899374000,1070.97
1565899314000,1267.38
1565899254000,1139.63
1565899194000,943.78
1565899134000,1041.30
1565899074000,954.15
1565899014000,931.63
1565898954000,974.40
1565898894000,1062.97
1565898834000,979.92
1565898774000,1082.77
1565898714000,982.63
1565898654000,1104.67
1565898594000,1004.17
1565898534000,1067.82
1565898474000,993.63
1565898414000,904.48
1565898354000,1016.52
1565898294000,992.17
1565898234000,1059.42
1565898174000,1058.50
1565898114000,863.18
1565898054000,991.45
1565897994000,846.28
1565897934000,937.28
1565897874000,982.23
1565897814000,896.78
1565897754000,727.55
1565897694000,976.05
1565897634000,933.75
1565897574000,935.72
1565897514000,938.68
1565897454000,1049.97
1565897394000,926.38
1565897334000,930.77
1565897274000,870.00
1565897214000,808.30
1565897154000,898.45
1565897094000,837.18
1565897034000,885.80
1565896974000,994.38
1565896914000,365.12
1565895774000,45.82
1565895714000,396.97
1565895654000,511.77
1565895594000,833.97
1565895534000,615.83
1565895474000,927.57
1565895414000,1061.73
1565895354000,902.85
1565895294000,1031.90
1565895234000,1023.80
1565895174000,992.95
1565895114000,1004.85
1565895054000,1170.80
1565894994000,1071.80
1565894934000,961.03
1565894874000,1030.08
1565894814000,1050.40
1565894754000,999.17
1565894694000,970.52
1565894634000,1102.45
1565894574000,1141.25
1565894514000,1090.78
1565894454000,1203.48
1565894394000,1123.02
1565894334000,1043.78
1565894274000,1014.03
1565894214000,1081.20
1565894154000,889.57
1565894094000,1140.65
1565894034000,1076.98
1565893974000,1119.65
1565893914000,1150.67
1565893854000,1209.42
1565893794000,1064.27
1565893734000,1121.72
1565893674000,1096.07
1565893614000,1049.10
1565893554000,1083.73
1565893494000,1140.28
1565893434000,1084.42
1565893374000,1081.52
1565893314000,1250.58
1565893254000,1047.10
1565893194000,1139.70
1565893134000,1255.68
1565893074000,1084.67
1565893014000,1201.48
1565892954000,1068.12
1565892894000,1078.53
1565892834000,1228.08
1565892774000,1250.83
1565892714000,1144.43
1565892654000,1384.17
1565892594000,1321.15
1565892534000,1334.50
1565892474000,1343.47
1565892414000,1323.55
1565892354000,1267.88
1565892294000,1347.42
1565892234000,1307.82
1565892174000,1479.52
1565892114000,1277.85
1565892054000,1468.62
1565891994000,1230.88
1565891934000,1229.98
1565891874000,1251.63
1565891814000,1187.27
1565891754000,1270.92
1565891694000,1180.73
1565891634000,1169.23
1565891574000,1307.48
1565891514000,1186.37
1565891454000,1500.03
1565891394000,1206.67
1565891334000,1180.03
1565891274000,1273.52
1565891214000,1247.35
1565891154000,1278.55
1565891094000,1167.27
1565891034000,1222.60
1565890974000,1396.52
1565890914000,1291.33
1565890854000,1293.82
1565890794000,1256.63
1565890734000,1361.85
1565890674000,1248.53
1565890614000,1228.50
1565890554000,1231.50
1565890494000,1374.53
1565890434000,1179.52
1565890374000,1383.53
1565890314000,1293.03
1565890254000,1561.52
1565890194000,1330.47
1565890134000,1318.87
1565890074000,1270.00
1565890014000,1249.38
1565889954000,1363.27
1565889894000,1222.63
1565889834000,1329.18
1565889774000,1191.50
1565889714000,1378.03
1565889654000,1358.33
1565889594000,1312.47
1565889534000,1382.28
1565889474000,1189.73
1565889414000,1282.37
1565889354000,1338.57
1565889294000,1367.17
1565889234000,1319.93
1565889174000,1384.38
1565889114000,1492.32
1565889054000,1460.67
1565888994000,1364.93
1565888934000,1438.70
1565888874000,1465.95
1565888814000,1453.93
1565888754000,1342.02
1565888694000,1377.28
1565888634000,1303.33
1565888574000,1569.10
1565888514000,1467.43
1565888454000,1664.88
1565888394000,1349.58
1565888334000,1421.37
1565888274000,1345.22
1565888214000,1305.78
1565888154000,1372.00
1565888094000,1432.67
1565888034000,1281.83
1565887974000,1444.47
1565887914000,1366.22
1565887854000,1524.95
1565887794000,1299.53
1565887734000,1438.82
1565887674000,1480.98
1565887614000,1346.62
1565887554000,1521.38
1565887494000,1346.72
1565887434000,1326.08
1565887374000,1654.40
1565887314000,1429.87
1565887254000,1444.07
1565887194000,1435.38
1565887134000,1320.15
1565887074000,1514.22
1565887014000,1207.47
1565886954000,1372.70
1565886894000,1366.77
1565886834000,1400.48
1565886774000,1422.02
1565886714000,1521.95
1565886654000,1556.00
1565886594000,1283.13
1565886534000,1309.75
1565886474000,1437.95
1565886414000,1452.63
1565886354000,1391.00
1565886294000,1473.43
1565886234000,1291.18
1565886174000,1493.32
1565886114000,1444.17
1565886054000,1414.52
1565885994000,1383.48
1565885934000,1437.40
1565885874000,1298.93
1565885814000,1389.57
1565885754000,1426.27
1565885694000,1321.70
1565885634000,1363.67
1565885574000,1425.37
1565885514000,1383.23
1565885454000,1673.55
1565885394000,1474.33
1565885334000,1580.82
1565885274000,1632.33
1565885214000,1346.47
1565885154000,1398.52
1565885094000,1422.87
1565885034000,1588.00
1565884974000,1657.52
1565884914000,1543.12
1565884854000,1495.77
1565884794000,1353.32
1565884734000,1374.83
1565884674000,1331.78
1565884614000,1370.65
1565884554000,1336.27
1565884494000,1274.35
1565884434000,1469.43
1565884374000,1466.98
1565884314000,1300.48
1565884254000,1435.22
1565884194000,1317.87
1565884134000,1397.85
1565884074000,1338.70
1565884014000,1419.85
1565883954000,1291.17
1565883894000,1364.18
1565883834000,1229.53
1565883774000,1510.22
1565883714000,1344.80
1565883654000,1526.97
1565883594000,1399.90
1565883534000,1400.77
1565883474000,1267.00
1565883414000,1391.05
1565883354000,1246.85
1565883294000,1258.08
1565883234000,1349.12
1565883174000,1333.80
1565883114000,1563.18
1565883054000,1307.62
1565882994000,1338.95
1565882934000,1423.42
1565882874000,1275.10
1565882814000,1271.68
1565882754000,1350.97
1565882694000,1340.05
1565882634000,1265.70
1565882574000,1432.45
1565882514000,1333.55
1565882454000,1543.22
1565882394000,1270.72
1565882334000,1379.78
1565882274000,1408.33
1565882214000,1368.08
1565882154000,1336.23
1565882094000,1351.63
1565882034000,1349.00
1565881974000,1486.43
1565881914000,1426.88
1565881854000,1657.28
1565881794000,1479.07
1565881734000,1517.67
1565881674000,1433.73
1565881614000,1472.85
1565881554000,1316.63
1565881494000,1331.02
1565881434000,1496.02
1565881374000,1389.97
1565881314000,1507.30
1565881254000,1579.43
1565881194000,1209.50
1565881134000,1364.75
1565881074000,1273.02
1565881014000,1340.80
1565880954000,1234.43
1565880894000,1360.25
1565880834000,1250.92
1565880774000,1236.25
1565880714000,1567.10
1565880654000,1270.73
1565880594000,1303.58
1565880534000,1390.22
1565880474000,1378.03
1565880414000,1291.78
1565880354000,1267.05
1565880294000,1262.50
1565880234000,1273.83
1565880174000,1419.95
1565880114000,1428.03
1565880054000,1281.95
1565879994000,1380.08
1565879934000,1307.18
1565879874000,1272.40
1565879814000,1362.58
1565879754000,1303.82
1565879694000,1255.73
1565879634000,1470.68
1565879574000,1313.45
1565879514000,1311.00
1565879454000,1485.70
1565879394000,1188.03
1565879334000,1392.47
1565879274000,1316.17
1565879214000,1368.97
1565879154000,1253.22
1565879094000,1217.02
1565879034000,1390.85
1565878974000,1359.60
1565878914000,1315.28
1565878854000,1470.33
1565878794000,1224.80
1565878734000,1470.68
1565878674000,1316.93
1565878614000,1235.88
1565878554000,1284.65
1565878494000,1337.67
1565878434000,1221.22
1565878374000,1616.53
1565878314000,1467.03
1565878254000,1658.25
1565878194000,1419.07
1565878134000,1448.27
1565878074000,1462.02
1565878014000,1388.05
1565877954000,1430.92
1565877339000,1284.27
1565877282000,1271.47
1565877066000,1112.32
1565876354000,1433.28
1565874967000,1306.52
1565874326000,1410.68
1565874146000,1182.13
1565873975000,1219.93
1565873885000,1153.60
1565873824000,1198.67
1565873764000,1109.82
1565873704000,1126.68
1565873644000,1188.85
1565873584000,1170.88
1565873524000,1310.82
1565873464000,1207.98
1565873404000,1210.95
1565873344000,1238.83
1565873284000,1177.53
1565873224000,1147.78
1565873164000,1204.50
1565873104000,1144.97
1565873044000,1260.43
1565872984000,1191.02
1565872924000,1205.68
1565872864000,1294.42
1565872804000,1283.82
1565872744000,1156.83
1565872684000,1176.32
1565872624000,1241.12
1565872564000,1130.23
1565872504000,1127.90
1565872444000,1284.93
1565872384000,1256.82
1565872324000,1366.23
1565872264000,1350.43
1565872204000,1128.08
1565872144000,1297.97
1565872084000,1255.28
1565872024000,1115.87
1565871964000,1160.48
1565871904000,1197.83
1565871844000,1081.77
1565871784000,1283.08
1565871724000,1234.53
1565871664000,1208.60
1565871604000,1210.93
1565871544000,1162.45
1565871484000,1287.60
1565871424000,1269.40
1565871364000,1100.62
1565871304000,1199.97
1565871244000,1132.83
1565871184000,1226.38
1565871124000,1313.00
1565870544000,1315.30
1565870249000,1284.05
1565870048000,1364.28
1565869932000,1285.10
1565869864000,1436.15
1565869804000,1219.55
1565869744000,1396.80
1565869684000,1343.50
1565869624000,1470.93
1565869564000,1366.98
1565869504000,1297.43
1565869444000,1570.38
1565869384000,1517.27
1565869324000,1496.03
1565869264000,1634.10
1565869204000,1462.92
1565869144000,1428.42
1565869084000,1608.63
1565869024000,1518.65
1565868964000,1400.53
1565868904000,1502.50
1565868844000,1550.60
1565868784000,1537.62
1565868724000,1631.35
1565868664000,1707.55
1565868604000,1465.10
1565868544000,1632.83
1565868484000,1395.48
1565868424000,1479.28
1565868364000,1499.38
1565868304000,1576.75
1565868244000,1516.20
1565868184000,1478.57
1565868124000,1446.93
1565868064000,1551.45
1565868004000,1403.75
1565867944000,1637.65
1565867884000,1505.73
1565867824000,1633.08
1565867764000,1588.98
1565867704000,1486.12
1565867644000,1464.40
1565867584000,1710.28
1565867524000,1557.92
1565867464000,1771.40
1565867404000,1550.47
1565867344000,1734.37
1565867284000,1585.67
1565867224000,1643.68
1565867164000,1697.90
1565867104000,1429.33
1565867044000,1634.47
1565866984000,1704.00
1565866924000,1810.80
1565866864000,1791.12
1565866804000,1608.75
1565866744000,1622.30
1565866684000,1640.37
1565866624000,1679.67
1565866564000,1498.12
1565866504000,1618.00
1565866444000,1481.30
1565866384000,1619.20
1565866324000,1470.15
1565866264000,1672.13
1565866204000,1366.40
1565866144000,1699.77
1565866084000,1406.95
1565866024000,1769.10
1565865964000,1545.48
1565865904000,1305.98
1565865844000,1599.92
1565865784000,1566.43
1565865724000,1526.00
1565865664000,1670.47
1565865604000,1612.58
1565865544000,1599.78
1565865484000,1577.42
1565865424000,1510.33
1565865364000,1597.22
1565865304000,1473.15
1565865244000,1671.70
1565865184000,1537.55
1565865124000,1601.93
1565865064000,1721.70
1565865004000,1430.35
1565864944000,1684.08
1565864884000,1514.17
1565864824000,1511.00
1565864764000,1489.12
1565864704000,1609.35
1565864644000,1545.22
1565864584000,1617.43
1565864524000,1552.92
1565864464000,1604.57
1565864404000,1526.57
1565864344000,1601.57
1565864284000,1553.98
1565864224000,1615.45
1565864164000,1470.40
1565864104000,1564.63
1565864044000,1493.08
1565863984000,1726.23
1565863924000,1558.90
1565863864000,1705.08
1565863804000,1734.25
1565863744000,1730.80
1565863684000,1670.43
1565863624000,1737.17
1565863564000,1469.15
1565863504000,1640.05
1565863444000,1612.43
1565863384000,1789.27
1565863324000,1567.63
1565863264000,1773.43
1565863204000,1437.05
1565863144000,1543.72
1565863084000,1472.85
1565863024000,1487.60
1565862964000,1394.20
1565862904000,1463.95
1565862844000,1412.80
1565862784000,1429.18
1565862724000,1410.78
1565862664000,1504.77
1565862604000,1556.42
1565862544000,1452.18
1565862484000,1408.75
1565862424000,1524.82
1565862364000,1312.50
1565862304000,1410.10
1565862244000,1506.65
1565862184000,1444.67
1565862124000,1494.95
1565862064000,1574.20
1565862004000,1436.50
1565861944000,1344.27
1565861884000,1441.53
1565861824000,1475.38
1565861764000,1334.38
1565861704000,1513.80
1565861644000,1365.15
1565861584000,1559.03
1565861524000,1415.88
1565861464000,1443.45
1565861404000,1488.95
1565861344000,1431.83
1565861284000,1557.45
1565861224000,1492.60
1565861164000,1475.32
1565861104000,1486.97
1565861044000,1439.90
1565860984000,1620.97
1565860924000,1515.85
1565860864000,1485.80
1565860804000,1492.62
1565860744000,1456.70
1565860684000,1490.80
1565860624000,1426.37
1565860564000,1382.52
1565860504000,1282.93
1565860444000,1450.65
1565860384000,1599.57
1565860324000,1332.40
1565860264000,1631.03
1565860204000,1443.02
1565860144000,1550.20
1565860084000,1535.07
1565860024000,1504.98
1565859964000,1476.23
1565859904000,1232.95
1565859844000,1337.38
1565859784000,1324.45
1565859724000,1286.87
1565859664000,1329.05
1565859604000,933.57
1565859544000,1191.67
1565859484000,1056.42
1565859424000,1036.32
1565859364000,1027.02
1565859304000,974.38
1565859244000,1088.60
1565859184000,987.22
1565859124000,1204.08
1565859064000,983.18
1565859004000,880.67
1565858944000,976.18
1565858884000,1045.42
1565858824000,993.47
1565858764000,1065.87
1565858704000,920.63
1565858644000,1059.13
1565858584000,1115.22
1565858524000,970.55
1565858464000,1051.72
1565858404000,859.05
1565858344000,952.62
1565858284000,992.87
1565858224000,979.20
1565858164000,813.23
1565858104000,938.63
1565858044000,899.35
1565857984000,1028.25
1565857924000,935.85
1565857864000,935.02
1565857804000,825.00
1565857744000,832.00
1565857684000,874.72
1565857624000,846.22
1565857564000,784.67
1565857504000,816.43
1565857444000,736.68
1565857384000,864.33
1565857324000,856.12
1565857264000,786.93
1565857204000,697.87
1565857144000,835.42
1565857084000,716.00
1565857024000,788.43
1565856964000,741.02
1565856904000,695.83
1565856844000,675.50
1565856784000,784.48
1565856724000,809.30
1565856664000,859.20
1565856604000,789.37
1565856544000,782.28
1565856484000,773.60
1565856424000,830.75
1565856364000,829.25
1565856304000,657.97
1565856244000,652.93
1565856184000,813.25
1565856124000,865.45
1565856064000,814.42
1565856004000,505.55
1565855944000,545.75
1565855884000,567.90
1565855824000,635.42
1565855764000,535.15
1565855704000,565.08
1565855644000,517.37
1565855584000,573.28
1565855524000,596.83
1565855464000,544.90
1565855404000,523.08
1565855344000,541.70
1565855284000,546.10
1565855224000,549.50
1565855164000,579.87
1565855104000,557.70
1565855044000,499.18
1565854984000,609.02
1565854924000,645.73
1565854864000,635.18
1565854804000,491.65
1565854744000,537.43
1565854684000,593.22
1565854624000,662.65
1565854564000,537.33
1565854504000,519.85
1565854444000,520.22
1565854384000,583.53
1565854324000,583.02
1565854264000,543.92
1565854204000,475.55
1565854144000,470.97
1565854084000,524.53
1565854024000,527.00
1565853964000,525.38
1565853904000,480.87
1565853844000,465.42
1565853784000,443.43
1565853724000,641.48
1565853664000,645.70
1565853604000,646.40
1565853544000,595.70
1565853484000,631.73
1565853424000,722.33
1565853364000,723.30
1565853304000,532.98
1565853244000,518.18
1565853184000,559.35
1565853124000,613.48
1565853064000,676.57
1565853004000,636.03
1565852944000,591.08
1565852884000,549.67
1565852824000,696.43
1565852764000,643.55
1565852704000,489.87
1565852644000,562.83
1565852584000,605.82
1565852524000,711.22
1565852464000,595.95
1565852404000,391.57
1565852344000,429.05
1565852284000,392.02
1565852224000,484.20
1565852164000,425.55
1565852104000,435.23
1565852044000,438.28
1565851984000,391.00
1565851924000,537.40
1565851864000,460.25
1565851804000,358.13
1565851744000,377.27
1565851684000,321.80
1565851624000,452.25
1565851564000,417.22
1565851504000,463.37
1565851444000,486.08
1565851384000,562.32
1565851324000,586.05
1565851264000,573.18
1565851204000,440.18
1565851144000,432.58
1565851084000,473.57
1565851024000,520.63
1565850964000,454.65
1565850904000,426.75
1565850844000,355.62
1565850784000,427.63
1565850724000,553.03
1565850664000,531.07
1565850604000,381.78
1565850544000,404.05
1565850484000,406.97
1565850424000,453.52
1565850364000,394.72
1565850304000,276.68
1565850244000,288.63
1565850184000,288.80
1565850124000,334.83
1565850064000,348.35
1565850004000,261.53
1565849944000,309.53
1565849884000,412.78
1565849824000,416.48
1565849764000,380.97
1565849704000,372.37
1565849644000,332.97
1565849584000,398.73
1565849524000,420.58
1565849464000,471.83
1565849404000,396.12
1565849344000,403.27
1565849284000,434.13
1565849224000,493.70
1565849164000,486.57
1565849104000,345.30
1565849044000,381.50
1565848984000,432.95
1565848924000,495.27
1565848864000,455.83
1565848804000,205.35
1565848744000,230.12
1565848684000,287.28
1565848624000,315.62
1565848564000,324.48
1565848504000,336.08
1565848444000,296.75
1565848384000,296.97
1565848324000,319.32
1565848264000,303.70
1565848204000,247.62
1565848144000,240.12
1565848084000,270.63
1565848024000,281.88
1565847964000,378.03
1565847904000,302.78
1565847844000,287.10
1565847784000,304.47
1565847724000,284.32
