ds,y
1565913594000,2.36
1565913534000,2.39
1565913474000,2.35
1565913414000,2.38
1565913354000,2.37
1565913294000,2.35
1565913234000,2.40
1565913174000,2.32
1565913114000,2.39
1565913054000,2.34
1565912994000,2.35
1565912934000,2.34
1565912874000,2.34
1565912814000,2.33
1565912754000,2.31
1565912694000,2.35
1565912634000,2.37
1565912574000,2.36
1565912514000,2.35
1565912454000,2.33
1565912394000,2.33
1565912334000,2.27
1565912274000,2.30
1565912214000,2.32
1565912154000,2.30
1565912094000,2.33
1565912034000,2.30
1565911974000,2.31
1565911914000,2.31
1565911854000,2.30
1565911794000,2.29
1565911734000,2.32
1565911674000,2.40
1565911614000,2.27
1565911554000,2.30
1565911494000,2.25
1565911434000,2.29
1565911374000,2.29
1565911314000,2.26
1565911254000,2.30
1565911194000,2.31
1565911134000,2.32
1565911074000,2.29
1565911014000,2.31
1565910954000,2.28
1565910894000,2.31
1565910834000,2.31
1565910774000,2.27
1565910714000,2.29
1565910654000,2.27
1565910594000,2.28
1565910534000,2.24
1565910474000,2.32
1565910414000,2.27
1565910354000,2.24
1565910294000,2.29
1565910234000,2.30
1565910174000,2.33
1565910114000,2.30
1565910054000,2.28
1565909994000,2.27
1565909934000,2.25
1565909874000,2.25
1565909814000,2.29
1565909754000,2.25
1565909694000,2.26
1565909634000,2.25
1565909574000,2.27
1565909514000,2.25
1565909454000,2.26
1565909394000,2.25
1565909334000,2.25
1565909274000,2.25
1565909214000,2.30
1565909154000,2.27
1565909094000,2.26
1565909034000,2.31
1565908974000,2.30
1565908914000,2.25
1565908854000,2.26
1565908794000,2.21
1565908734000,2.30
1565908674000,2.23
1565908614000,2.29
1565908554000,2.28
1565908494000,2.24
1565908434000,2.25
1565908374000,2.23
1565908314000,2.27
1565908254000,2.18
1565908194000,2.23
1565908134000,2.28
1565908074000,2.24
1565908014000,2.29
1565907954000,2.24
1565907894000,2.25
1565907834000,2.19
1565907774000,2.27
1565907714000,2.25
1565907654000,2.28
1565907594000,2.23
1565907534000,2.22
1565907474000,2.24
1565907414000,2.25
1565907354000,2.25
1565907294000,2.25
1565907234000,2.30
1565907174000,2.28
1565907114000,2.24
1565907054000,2.23
1565906994000,2.24
1565906934000,2.33
1565906874000,2.28
1565906814000,2.29
1565906754000,2.25
1565906694000,2.28
1565906634000,2.19
1565906574000,2.26
1565906514000,2.28
1565906454000,2.26
1565906394000,2.28
1565906334000,2.25
1565906274000,2.19
1565906214000,2.22
1565906154000,2.23
1565906094000,2.29
1565906034000,2.22
1565905974000,2.30
1565905914000,2.24
1565905854000,2.26
1565905794000,2.26
1565905734000,2.25
1565905674000,2.30
1565905614000,2.32
1565905554000,2.27
1565905494000,2.29
1565905434000,2.26
1565905374000,2.27
1565905314000,2.24
1565905254000,2.34
1565905194000,2.27
1565905134000,2.32
1565905074000,2.27
1565905014000,2.24
1565904954000,2.22
1565904894000,2.27
1565904834000,2.31
1565904774000,2.27
1565904714000,2.30
1565904654000,2.25
1565904594000,2.23
1565904534000,2.25
1565904474000,2.23
1565904414000,2.28
1565904354000,2.27
1565904294000,2.31
1565904234000,2.26
1565904174000,2.27
1565904114000,2.23
1565904054000,2.23
1565903994000,2.29
1565903934000,2.31
1565903874000,2.29
1565903814000,2.31
1565903754000,2.31
1565903694000,2.26
1565903634000,2.27
1565903574000,2.27
1565903514000,2.27
1565903454000,2.29
1565903394000,2.24
1565903334000,2.28
1565903274000,2.29
1565903214000,2.20
1565903154000,2.21
1565903094000,2.35
1565903034000,2.37
1565902974000,2.33
1565902914000,2.31
1565902854000,2.32
1565902794000,2.26
1565902734000,2.32
1565902674000,2.36
1565902614000,2.38
1565902554000,2.31
1565902494000,2.31
1565902434000,2.33
1565902374000,2.32
1565902314000,2.28
1565902254000,2.36
1565902194000,2.36
1565902134000,2.39
1565902074000,2.34
1565902014000,2.32
1565901954000,2.36
1565901894000,2.33
1565901834000,2.44
1565901774000,2.40
1565901714000,2.33
1565901654000,2.37
1565901594000,2.33
1565901534000,2.38
1565901474000,2.32
1565901414000,2.43
1565901354000,2.37
1565901294000,2.34
1565901234000,2.38
1565901174000,2.34
1565901114000,2.31
1565901054000,2.37
1565900994000,2.37
1565900934000,2.23
1565900874000,2.13
1565900814000,2.45
1565900754000,2.56
1565900694000,2.52
1565900634000,2.36
1565900574000,2.27
1565900514000,2.24
1565900454000,2.29
1565900394000,2.32
1565900334000,2.32
1565900274000,2.32
1565900214000,2.37
1565900154000,2.28
1565900094000,2.29
1565900034000,2.34
1565899974000,2.32
1565899914000,2.34
1565899854000,2.29
1565899794000,2.28
1565899734000,2.32
