ds,y
1565913594000,1618.93
1565913534000,1793.62
1565913474000,1722.30
1565913414000,1785.22
1565913354000,1736.17
1565913294000,1875.38
1565913234000,1803.62
1565913174000,1607.03
1565913114000,1858.72
1565913054000,1944.40
1565912994000,1884.23
1565912934000,1731.62
1565912874000,1943.87
1565912814000,1847.50
1565912754000,1670.42
1565912694000,1870.93
1565912634000,1933.97
1565912574000,1896.03
1565912514000,1638.32
1565912454000,1903.52
1565912394000,1818.13
1565912334000,1648.47
1565912274000,1888.20
1565912214000,1920.40
1565912154000,1921.60
1565912094000,1643.10
1565912034000,2018.47
1565911974000,1903.50
1565911914000,1662.50
1565911854000,2002.67
1565911794000,2013.07
1565911734000,1973.62
1565911674000,1824.55
1565911614000,1974.73
1565911554000,1949.47
1565911494000,1635.33
1565911434000,1975.02
1565911374000,2013.23
1565911314000,2028.17
1565911254000,1739.97
1565911194000,1968.27
1565911134000,1961.02
1565911074000,1857.77
1565911014000,1959.45
1565910954000,2006.35
1565910894000,2087.40
1565910834000,1817.27
1565910774000,2027.88
1565910714000,1980.27
1565910654000,1733.43
1565910594000,1838.20
1565910534000,1928.82
1565910474000,2139.05
1565910414000,1675.58
1565910354000,2076.40
1565910294000,1959.92
1565910234000,2046.52
1565910174000,2034.38
1565910114000,2138.23
1565910054000,2024.12
1565909994000,1780.72
1565909934000,1949.17
1565909874000,1951.02
1565909814000,2043.10
1565909754000,2025.53
1565909694000,2017.83
1565909634000,2051.55
1565909574000,1816.00
1565909514000,1977.47
1565909454000,2134.48
1565909394000,2196.30
1565909334000,2156.33
1565909274000,2137.68
1565909214000,2211.53
1565909154000,1897.77
1565909094000,2066.55
1565909034000,2201.87
1565908974000,2214.60
1565908914000,2177.53
1565908854000,2205.58
1565908794000,2185.47
1565908734000,1963.23
1565908674000,2054.37
1565908614000,2155.90
1565908554000,2191.32
1565908494000,2081.33
1565908434000,2356.35
1565908374000,2358.42
1565908314000,2004.97
1565908254000,2071.30
1565908194000,2192.00
1565908134000,2164.70
1565908074000,2208.35
1565908014000,2178.47
1565907954000,2168.78
1565907894000,1964.35
1565907834000,2057.50
1565907774000,2294.72
1565907714000,2170.85
1565907654000,2184.15
1565907594000,2291.28
1565907534000,2345.68
1565907474000,2109.17
1565907414000,2053.28
1565907354000,2240.10
1565907294000,2263.33
1565907234000,2137.77
1565907174000,2319.68
1565907114000,2322.53
1565907054000,2051.25
1565906994000,1967.02
1565906934000,2266.38
1565906874000,2299.98
1565906814000,2043.15
1565906754000,2295.27
1565906694000,2268.25
1565906634000,2144.92
1565906574000,2038.43
1565906514000,2292.68
1565906454000,2198.22
1565906394000,2171.95
1565906334000,2103.27
1565906274000,2159.33
1565906214000,2063.63
1565906154000,1838.48
1565906094000,2116.33
1565906034000,2292.83
1565905974000,2186.15
1565905914000,2275.27
1565905854000,2174.50
1565905794000,2172.57
1565905734000,1885.23
1565905674000,2217.58
1565905614000,2326.07
1565905554000,2204.75
1565905494000,2285.22
1565905434000,2176.07
1565905374000,2202.53
1565905314000,1857.15
1565905254000,2257.88
1565905194000,2293.82
1565905134000,2218.10
1565905074000,2277.72
1565905014000,2353.00
1565904954000,2139.50
1565904894000,1901.78
1565904834000,2258.33
1565904774000,2346.88
1565904714000,2277.60
1565904654000,2330.32
1565904594000,2279.12
1565904534000,2161.28
1565904474000,1942.92
1565904414000,2282.90
1565904354000,2232.65
1565904294000,2170.12
1565904234000,2319.30
1565904174000,2390.68
1565904114000,2167.20
1565904054000,1809.05
1565903994000,2248.47
1565903934000,2285.82
1565903874000,2314.00
1565903814000,2303.75
1565903754000,2310.02
1565903694000,2245.93
1565903634000,1922.50
1565903574000,2266.50
1565903514000,2346.38
1565903454000,2257.75
1565903394000,2372.30
1565903334000,2344.30
1565903274000,2342.18
1565903214000,1962.47
1565903154000,2402.15
1565903094000,2307.80
1565903034000,2341.62
1565902974000,2425.20
1565902914000,2415.33
1565902854000,2214.83
1565902794000,1708.12
1565902734000,2228.63
1565902674000,2152.82
1565902614000,2177.47
1565902554000,2190.87
1565902494000,2126.90
1565902434000,2197.60
1565902374000,1893.82
1565902314000,2053.95
1565902254000,2166.55
1565902194000,2106.40
1565902134000,2097.58
1565902074000,2143.88
1565902014000,2076.65
1565901954000,1913.57
1565901894000,2045.67
1565901834000,2166.77
1565901774000,2173.72
1565901714000,2222.58
1565901654000,2230.53
1565901594000,2181.00
1565901534000,1882.05
1565901474000,2039.03
1565901414000,2165.37
1565901354000,2189.58
1565901294000,2305.93
1565901234000,2320.48
1565901174000,2267.88
1565901114000,1981.87
1565901054000,2080.40
1565900994000,2169.50
1565900934000,2276.20
1565900874000,2194.32
1565900814000,2320.35
1565900754000,2456.25
1565900694000,1913.87
1565900634000,2198.90
1565900574000,2343.62
1565900514000,1963.80
1565900454000,2302.48
1565900394000,2288.02
1565900334000,2244.67
1565900274000,2322.38
1565900214000,2315.13
1565900154000,2160.00
1565900094000,2163.97
1565900034000,2455.93
1565899974000,2355.90
1565899914000,2228.60
1565899854000,2137.25
1565899794000,1912.62
1565899734000,2014.00
1565899674000,1893.18
1565899614000,2183.15
1565899554000,1984.37
1565899494000,2031.12
1565899434000,2100.57
1565899374000,2031.50
1565899314000,2009.63
1565899254000,1741.22
1565899194000,1930.48
1565899134000,1835.85
1565899074000,1805.27
1565899014000,1800.00
1565898954000,1886.63
1565898894000,1889.07
1565898834000,1746.28
1565898774000,1963.20
1565898714000,1855.52
1565898654000,1921.35
1565898594000,1867.80
1565898534000,1871.80
1565898474000,1997.35
1565898414000,1796.78
1565898354000,1878.28
1565898294000,1856.60
1565898234000,1899.90
1565898174000,1919.35
1565898114000,1869.38
1565898054000,1869.02
1565897994000,1784.33
1565897934000,1907.68
1565897874000,1829.02
1565897814000,1867.40
1565897754000,1926.45
1565897694000,1826.78
1565897634000,2007.23
1565897574000,1855.87
1565897514000,1913.80
1565897454000,1951.18
1565897394000,1769.32
1565897334000,1978.33
1565897274000,1881.42
1565897214000,2047.25
1565897154000,1861.42
1565897094000,2021.10
1565897034000,2048.70
1565896974000,1895.78
1565896914000,2032.80
1565896854000,1976.25
1565896794000,2068.57
1565896734000,1952.70
1565896674000,1956.80
1565896614000,2049.15
1565896554000,1819.27
1565896494000,1968.70
1565896434000,1842.62
1565896374000,1967.83
1565896314000,1837.50
1565896254000,1889.77
1565896194000,1872.67
1565896134000,1721.17
1565896074000,1938.50
1565896014000,1854.32
1565895954000,1990.13
1565895894000,1890.28
1565895834000,1939.77
1565895774000,2125.12
1565895714000,1853.45
