ds,y
1565913594000,0.02
1565913534000,0.05
1565913474000,0.05
1565913414000,0.02
1565913354000,0.17
1565913294000,0.12
1565913234000,0.12
1565913174000,0.10
1565912934000,0.05
1565912874000,0.07
1565912814000,0.02
1565912754000,0.07
1565912634000,0.02
1565912574000,0.12
1565912514000,0.02
1565912454000,0.03
1565912394000,0.03
1565912214000,0.05
1565912154000,0.02
1565912094000,0.03
1565912034000,0.02
1565911974000,0.02
1565911914000,0.02
1565911854000,0.03
1565911734000,0.03
1565911674000,0.02
1565911554000,0.03
1565911494000,0.02
1565911434000,0.02
1565911374000,0.03
1565911254000,0.02
1565911194000,0.05
1565911134000,0.10
1565911014000,0.07
1565910954000,0.03
1565910894000,0.05
1565910714000,0.02
1565910654000,0.10
1565910594000,0.02
1565910534000,0.07
1565910474000,0.07
1565910414000,0.02
1565910354000,0.02
1565910294000,0.03
1565910234000,0.03
1565910174000,0.03
1565910114000,0.07
1565910054000,0.02
1565909934000,0.03
1565909814000,0.02
1565909754000,0.07
1565909694000,0.02
1565909634000,0.10
1565909454000,0.03
1565909394000,0.03
1565909334000,0.03
1565909274000,0.07
1565909154000,0.03
1565909094000,0.10
1565909034000,0.08
1565908974000,0.07
1565908914000,0.08
1565908854000,0.03
1565908794000,0.10
1565908734000,0.07
1565908674000,0.08
1565908614000,0.05
1565908554000,0.08
1565908494000,0.07
1565908434000,0.02
1565908374000,0.08
1565908314000,0.03
1565908254000,0.07
1565908194000,0.05
1565908134000,0.02
1565908074000,0.10
1565908014000,0.20
1565907954000,0.08
1565907894000,0.03
1565907834000,0.10
1565907774000,0.05
1565907714000,0.03
1565907654000,0.07
1565907534000,0.07
1565907474000,0.05
1565907414000,0.03
1565907354000,0.08
1565907294000,0.10
1565907234000,0.10
1565907174000,0.17
1565907114000,0.18
1565907054000,0.05
1565906994000,0.02
1565906934000,0.17
1565906814000,0.02
1565906754000,0.18
1565906694000,0.07
1565906634000,0.08
1565906574000,0.13
1565906514000,0.13
1565906454000,0.15
1565906394000,0.18
1565906334000,0.20
1565906274000,0.12
1565906214000,0.05
1565906154000,0.05
1565906094000,0.17
1565906034000,0.25
1565905974000,0.10
1565905914000,0.13
1565905854000,0.08
1565905794000,0.10
1565905734000,0.12
1565905674000,0.15
1565905614000,0.05
1565905554000,0.12
1565905494000,0.08
1565905434000,0.20
1565905374000,0.15
1565905314000,0.15
1565905254000,0.17
1565905194000,0.12
1565905134000,0.25
1565905074000,0.12
1565905014000,0.07
1565904954000,0.07
1565904894000,0.28
1565904834000,0.17
1565904774000,0.07
1565904714000,0.23
1565904654000,0.17
1565904594000,0.23
1565904534000,0.10
1565904474000,0.18
1565904414000,0.07
1565904354000,0.40
1565904294000,0.08
1565904234000,0.17
1565904174000,0.13
1565904114000,0.22
1565904054000,0.30
1565903994000,0.25
1565903934000,0.20
1565903874000,0.38
1565903814000,0.20
1565903754000,0.22
1565903694000,0.45
1565903634000,0.17
1565903574000,0.23
1565903514000,0.27
1565903454000,0.20
1565903394000,0.17
1565903334000,0.18
1565903274000,0.15
1565903214000,0.25
1565903154000,0.17
1565903094000,0.13
1565903034000,0.32
1565902974000,0.18
1565902914000,0.08
1565902854000,0.18
1565902794000,0.27
1565902734000,0.15
1565902674000,0.30
1565902614000,0.25
1565902554000,0.23
1565902494000,0.28
1565902434000,0.38
1565902374000,0.25
1565902314000,0.35
1565902254000,0.58
1565902194000,0.10
1565902134000,0.17
1565902074000,0.15
1565902014000,0.12
1565901954000,0.30
1565901894000,0.18
1565901834000,0.10
1565901774000,0.17
1565901714000,0.08
1565901654000,0.25
1565901594000,0.53
1565901534000,0.38
1565901474000,0.35
1565901414000,0.48
1565901354000,0.47
1565901294000,0.65
1565901234000,0.48
1565901174000,0.23
1565901114000,0.18
1565901054000,0.35
1565900994000,0.30
1565900934000,0.38
1565900874000,0.25
1565900814000,0.48
1565900754000,0.37
1565900694000,0.08
1565900634000,0.13
1565900574000,0.23
1565900514000,0.20
1565900454000,0.25
1565900394000,0.50
1565900334000,0.23
1565900274000,0.20
1565900214000,0.45
1565900154000,0.50
1565900094000,0.33
1565900034000,0.38
1565899974000,0.22
1565899914000,0.40
1565899854000,0.75
1565899794000,0.38
1565899734000,0.33
1565899674000,0.48
1565899614000,0.40
1565899554000,0.15
1565899494000,0.40
1565899434000,0.13
1565899374000,0.35
1565899314000,0.22
1565899254000,0.33
1565899194000,0.67
1565899134000,0.42
1565899074000,0.12
1565899014000,0.48
1565898954000,0.40
1565898894000,0.50
1565898834000,0.43
1565898774000,0.37
1565898714000,0.20
1565898654000,0.57
1565898594000,0.27
1565898534000,0.40
1565898474000,0.55
1565898414000,0.37
1565898354000,0.43
1565898294000,0.38
1565898234000,0.35
1565898174000,0.40
1565898114000,0.32
1565898054000,0.33
1565897994000,0.48
1565897934000,0.15
1565897874000,0.22
1565897814000,0.35
1565897754000,0.35
1565897694000,0.22
1565897634000,0.67
1565897574000,0.38
1565897514000,0.32
1565897454000,0.50
1565897394000,0.27
1565897334000,0.45
1565897274000,0.48
1565897214000,0.37
1565897154000,0.35
1565897094000,0.53
1565897034000,0.52
1565896974000,0.47
1565896914000,0.83
1565896854000,0.43
1565896794000,0.23
1565896734000,0.43
1565896674000,0.30
1565896614000,0.28
1565896554000,0.42
1565896494000,0.25
1565896434000,0.40
1565896374000,0.78
1565896314000,0.22
1565896254000,0.37
1565896194000,0.40
1565896134000,0.32
1565896074000,0.45
1565896014000,0.52
1565895954000,0.35
1565895894000,0.45
1565895834000,0.23
1565895774000,0.20
1565895714000,0.22
1565895654000,0.37
1565895594000,0.22
1565895534000,0.60
1565895474000,0.48
1565895414000,0.33
1565895354000,0.50
1565895294000,0.42
1565895234000,0.73
1565895174000,0.67
1565895114000,0.38
1565895054000,0.63
1565894994000,0.60
1565894934000,0.42
1565894874000,0.23
1565894814000,0.65
1565894754000,0.42
1565894694000,0.50
1565894634000,0.62
1565894574000,0.52
1565894514000,0.45
1565894454000,0.75
1565894394000,0.67
1565894334000,0.70
1565894274000,0.92
1565894214000,0.58
1565894154000,0.45
1565894094000,0.70
1565894034000,0.43
1565893974000,0.30
1565893914000,0.87
1565893854000,0.27
1565893794000,0.52
1565893734000,0.48
1565893674000,0.48
1565893614000,0.50
1565893554000,0.48
1565893494000,0.52
1565893434000,0.47
1565893374000,0.77
1565893314000,0.48
1565893254000,0.70
1565893194000,0.80
1565893134000,0.47
1565893074000,0.38
1565893014000,0.62
1565892954000,0.35
1565892894000,0.67
1565892834000,0.63
1565892774000,0.30
1565892714000,0.13
1565892654000,0.72
1565892594000,0.50
1565892534000,0.53
1565892474000,0.77
1565892414000,0.60
1565892354000,0.47
1565892294000,0.50
1565892234000,0.32
1565892174000,0.77
1565892114000,0.73
1565892054000,0.30
1565891994000,0.57
1565891934000,0.28
1565891874000,0.50
1565891814000,0.85
1565891754000,0.75
1565891694000,0.58
1565891634000,0.67
1565891574000,0.27
1565891514000,0.40
1565891454000,0.48
1565891394000,0.37
1565891334000,0.60
1565891274000,0.58
1565891214000,0.17
1565891154000,0.50
1565891094000,0.60
1565891034000,0.27
1565890974000,0.35
1565890914000,0.98
1565890854000,0.52
1565890794000,0.50
1565890734000,0.48
1565890674000,0.42
1565890614000,0.45
1565890554000,0.52
1565890494000,0.42
1565890434000,0.37
1565890374000,0.80
1565890314000,0.57
1565890254000,0.63
1565890194000,0.53
1565890134000,0.42
1565890074000,0.18
1565890014000,0.77
1565889954000,0.35
1565889894000,0.48
1565889834000,0.52
1565889774000,0.30
1565889714000,0.28
1565889654000,0.52
1565889594000,0.42
1565889534000,0.23
1565889474000,0.52
1565889414000,0.33
1565889354000,0.32
1565889294000,0.60
