ds,y
1565913594000,1.45
1565913534000,1.37
1565913474000,1.18
1565913414000,1.08
1565913354000,1.10
1565913294000,0.98
1565913234000,0.93
1565913174000,1.00
1565913114000,1.92
1565913054000,1.80
1565912994000,1.68
1565912934000,0.83
1565912874000,1.08
1565912814000,1.92
1565912754000,1.67
1565912694000,1.52
1565912634000,2.57
1565912574000,1.78
1565912514000,1.57
1565912454000,2.23
1565912394000,1.67
1565912334000,0.97
1565912274000,1.62
1565912214000,1.50
1565912154000,0.97
1565912094000,1.00
1565912034000,2.10
1565911974000,1.42
1565911914000,1.05
1565911854000,1.35
1565911794000,1.62
1565911734000,2.08
1565911674000,0.95
1565911614000,1.10
1565911554000,1.10
1565911494000,1.37
1565911434000,1.53
1565911374000,1.88
1565911314000,1.63
1565911254000,0.68
1565911194000,0.83
1565911134000,1.05
1565911074000,0.73
1565911014000,0.55
1565910954000,1.12
1565910894000,0.98
1565910834000,1.40
1565910774000,1.27
1565910714000,0.68
1565910654000,0.72
1565910594000,0.87
1565910534000,0.42
1565910474000,0.32
1565910414000,0.83
1565910354000,0.42
1565910294000,0.97
1565910234000,0.40
1565910174000,0.87
1565910114000,0.68
1565910054000,1.13
1565909994000,0.95
1565909934000,0.58
1565909874000,0.38
1565909814000,0.18
1565909754000,0.65
1565909694000,1.23
1565909634000,0.47
1565909574000,0.73
1565909514000,1.17
1565909454000,0.90
1565909394000,0.70
1565909334000,0.53
1565909274000,1.27
1565909214000,0.50
1565909154000,0.93
1565909094000,0.58
1565909034000,0.43
1565908974000,1.40
1565908914000,0.47
1565908854000,0.43
1565908794000,1.02
1565908734000,1.50
1565908674000,0.88
1565908614000,0.93
1565908554000,0.85
1565908494000,1.40
1565908434000,0.63
1565908374000,0.57
1565908314000,0.77
1565908254000,1.08
1565908194000,1.28
1565908134000,1.40
1565908074000,1.57
1565908014000,2.10
1565907954000,1.58
1565907894000,1.30
1565907834000,2.33
1565907774000,1.37
1565907714000,0.73
1565907654000,1.55
1565907594000,0.78
1565907534000,0.32
1565907474000,0.80
1565907414000,1.22
1565907354000,1.38
1565907294000,3.25
1565907234000,1.28
1565907174000,2.87
1565907114000,1.07
1565907054000,0.95
1565906994000,0.88
1565906934000,0.48
1565906874000,1.27
1565906814000,1.02
1565906754000,1.72
1565906694000,1.47
1565906634000,1.45
1565906574000,0.58
1565906514000,1.23
1565906454000,1.42
1565906394000,1.25
1565906334000,0.33
1565906274000,1.17
1565906214000,1.65
1565906154000,1.47
1565906094000,0.83
1565906034000,0.85
1565905974000,1.87
1565905914000,0.98
1565905854000,0.88
1565905794000,0.87
1565905734000,0.57
