ds,y
1565913594000,3631.63
1565913534000,3959.65
1565913474000,3881.42
1565913414000,4047.70
1565913354000,3842.80
1565913294000,4224.92
1565913234000,4025.42
1565913174000,3635.12
1565913114000,4173.98
1565913054000,4370.85
1565912994000,4243.02
1565912934000,3882.35
1565912874000,4356.03
1565912814000,4141.25
1565912754000,3801.40
1565912694000,4204.40
1565912634000,4327.35
1565912574000,4257.90
1565912514000,3678.33
1565912454000,4276.98
1565912394000,4124.55
1565912334000,3720.85
1565912274000,4236.77
1565912214000,4342.20
1565912154000,4342.75
1565912094000,3710.37
1565912034000,4504.67
1565911974000,4328.42
1565911914000,3930.27
1565911854000,4496.17
1565911794000,4508.15
1565911734000,4428.98
1565911674000,4068.80
1565911614000,4407.37
1565911554000,4396.33
1565911494000,3810.38
1565911434000,4336.37
1565911374000,4518.85
1565911314000,4558.88
1565911254000,3936.33
1565911194000,4431.55
1565911134000,4396.08
1565911074000,4212.23
1565911014000,4326.73
1565910954000,4533.75
1565910894000,4692.65
1565910834000,4126.32
1565910774000,4564.98
1565910714000,4476.20
1565910654000,3975.27
1565910594000,4129.25
1565910534000,4345.38
1565910474000,4795.00
1565910414000,3828.98
1565910354000,4591.22
1565910294000,4455.82
1565910234000,4576.45
1565910174000,4606.17
1565910114000,4887.87
1565910054000,4611.48
1565909994000,4027.55
1565909934000,4340.85
1565909874000,4357.05
1565909814000,4605.67
1565909754000,4581.25
1565909694000,4601.53
1565909634000,4632.37
1565909574000,4121.38
1565909514000,4381.03
1565909454000,4765.22
1565909394000,4894.12
1565909334000,4824.10
1565909274000,4800.83
1565909214000,4943.58
1565909154000,4328.12
1565909094000,4611.72
1565909034000,4930.02
1565908974000,4936.82
1565908914000,4884.08
1565908854000,4980.68
1565908794000,4913.13
1565908734000,4466.35
1565908674000,4593.60
1565908614000,4857.73
1565908554000,4974.27
1565908494000,4698.08
1565908434000,5303.20
1565908374000,5331.52
1565908314000,4673.92
1565908254000,4685.12
1565908194000,4975.58
1565908134000,4855.98
1565908074000,4957.32
1565908014000,4901.98
1565907954000,4919.78
1565907894000,4484.48
1565907834000,4591.25
1565907774000,5143.80
1565907714000,4898.40
1565907654000,4889.25
1565907594000,5135.97
1565907534000,5256.05
1565907474000,4712.55
1565907414000,4611.58
1565907354000,5044.20
1565907294000,5116.77
1565907234000,4805.05
1565907174000,5230.55
1565907114000,5262.57
1565907054000,4671.90
1565906994000,4470.38
1565906934000,5152.25
1565906874000,5188.95
1565906814000,4641.95
1565906754000,5135.60
1565906694000,5113.18
1565906634000,4816.35
1565906574000,4623.88
1565906514000,5282.77
1565906454000,5016.83
1565906394000,4862.67
1565906334000,4701.93
1565906274000,4829.85
1565906214000,4669.27
1565906154000,4125.32
1565906094000,4782.42
1565906034000,5174.37
1565905974000,4936.97
1565905914000,5122.30
1565905854000,4853.43
1565905794000,4926.60
1565905734000,4236.38
1565905674000,4898.80
1565905614000,5192.55
1565905554000,4942.43
1565905494000,5175.67
1565905434000,4879.35
1565905374000,4963.05
1565905314000,4176.42
1565905254000,5023.88
1565905194000,5177.60
1565905134000,4987.57
1565905074000,5098.13
