ds,y
1565913594000,1801.27
1565913534000,1994.23
1565913474000,1929.08
1565913414000,2006.05
1565913354000,1951.15
1565913294000,2102.83
1565913234000,2020.15
1565913174000,1805.18
1565913114000,2101.65
1565913054000,2185.53
1565912994000,2115.78
1565912934000,1946.75
1565912874000,2178.03
1565912814000,2067.20
1565912754000,1889.18
1565912694000,2117.02
1565912634000,2164.00
1565912574000,2128.72
1565912514000,1839.35
1565912454000,2138.08
1565912394000,2052.68
1565912334000,1854.43
1565912274000,2134.28
1565912214000,2170.87
1565912154000,2171.43
1565912094000,1850.03
1565912034000,2257.75
1565911974000,2164.20
1565911914000,1938.68
1565911854000,2274.52
1565911794000,2253.62
1565911734000,2215.33
1565911674000,2034.35
1565911614000,2203.75
1565911554000,2197.53
1565911494000,1860.48
1565911434000,2212.87
1565911374000,2259.75
1565911314000,2279.68
1565911254000,1958.38
1565911194000,2213.15
1565911134000,2209.95
1565911074000,2070.95
1565911014000,2198.67
1565910954000,2266.92
1565910894000,2346.85
1565910834000,2049.90
1565910774000,2295.77
1565910714000,2233.53
1565910654000,1963.52
1565910594000,2082.85
1565910534000,2182.97
1565910474000,2397.22
1565910414000,1874.73
1565910354000,2335.45
1565910294000,2216.37
1565910234000,2300.17
1565910174000,2293.13
1565910114000,2453.93
1565910054000,2305.20
1565909994000,1997.08
1565909934000,2187.27
1565909874000,2178.38
1565909814000,2303.28
1565909754000,2290.08
1565909694000,2298.08
1565909634000,2319.20
1565909574000,2039.60
1565909514000,2211.77
1565909454000,2382.67
1565909394000,2446.73
1565909334000,2412.13
1565909274000,2397.78
1565909214000,2474.42
1565909154000,2143.00
1565909094000,2322.03
1565909034000,2470.53
1565908974000,2468.27
1565908914000,2441.72
1565908854000,2481.05
1565908794000,2464.93
1565908734000,2212.20
1565908674000,2318.88
1565908614000,2428.70
1565908554000,2487.40
1565908494000,2348.78
1565908434000,2652.55
1565908374000,2664.97
1565908314000,2317.75
1565908254000,2361.53
1565908194000,2476.43
1565908134000,2436.32
1565908074000,2481.82
1565908014000,2450.92
1565907954000,2459.95
1565907894000,2223.80
1565907834000,2314.50
1565907774000,2571.55
1565907714000,2437.38
1565907654000,2456.55
1565907594000,2568.25
1565907534000,2627.90
1565907474000,2352.02
1565907414000,2310.28
1565907354000,2521.72
1565907294000,2545.85
1565907234000,2411.90
1565907174000,2618.78
1565907114000,2630.43
1565907054000,2332.73
1565906994000,2239.22
1565906934000,2575.97
1565906874000,2594.37
1565906814000,2304.98
1565906754000,2583.90
1565906694000,2556.60
1565906634000,2404.57
1565906574000,2315.82
1565906514000,2641.33
1565906454000,2507.90
1565906394000,2431.23
1565906334000,2349.17
1565906274000,2416.42
1565906214000,2316.60
1565906154000,2081.00
1565906094000,2391.43
1565906034000,2587.72
1565905974000,2468.02
1565905914000,2553.33
1565905854000,2434.53
1565905794000,2432.62
1565905734000,2119.18
1565905674000,2479.15
1565905614000,2595.90
1565905554000,2471.68
1565905494000,2582.05
1565905434000,2433.22
1565905374000,2464.13
1565905314000,2087.90
1565905254000,2541.52
1565905194000,2588.90
1565905134000,2494.08
1565905074000,2548.93
1565905014000,2618.83
1565904954000,2412.38
1565904894000,2145.03
1565904834000,2521.53
1565904774000,2646.33
1565904714000,2598.18
1565904654000,2639.28
1565904594000,2547.82
1565904534000,2402.80
1565904474000,2164.10
1565904414000,2544.83
1565904354000,2516.78
1565904294000,2459.88
1565904234000,2587.43
1565904174000,2661.38
1565904114000,2415.80
1565904054000,2026.47
1565903994000,2509.68
1565903934000,2548.97
1565903874000,2568.03
1565903814000,2574.53
1565903754000,2584.25
1565903694000,2515.78
1565903634000,2148.80
1565903574000,2543.33
1565903514000,2612.68
1565903454000,2522.08
1565903394000,2647.40
1565903334000,2630.57
1565903274000,2604.28
1565903214000,2188.27
1565903154000,2685.53
1565903094000,2596.58
1565903034000,2600.55
1565902974000,2711.75
1565902914000,2733.40
1565902854000,2485.37
1565902794000,1902.28
1565902734000,2469.90
1565902674000,2390.63
1565902614000,2409.20
1565902554000,2449.22
1565902494000,2389.03
1565902434000,2453.90
1565902374000,2106.42
1565902314000,2280.68
1565902254000,2429.57
1565902194000,2352.42
1565902134000,2352.30
1565902074000,2393.08
1565902014000,2325.60
1565901954000,2136.78
1565901894000,2309.35
1565901834000,2427.98
1565901774000,2428.88
1565901714000,2485.17
1565901654000,2489.15
1565901594000,2442.10
1565901534000,2105.48
1565901474000,2275.30
1565901414000,2417.00
1565901354000,2451.38
1565901294000,2589.48
1565901234000,2602.30
1565901174000,2587.47
1565901114000,2297.25
1565901054000,2367.57
1565900994000,2448.17
1565900934000,2558.60
1565900874000,2469.92
1565900814000,2578.82
1565900754000,2751.75
1565900694000,2166.07
1565900634000,2463.27
1565900574000,2624.47
1565900514000,2195.20
1565900454000,2570.67
1565900394000,2560.38
1565900334000,2512.40
1565900274000,2596.00
1565900214000,2600.22
1565900154000,2455.85
1565900094000,2442.83
1565900034000,2741.90
1565899974000,2637.40
1565899914000,2514.15
1565899854000,2396.57
1565899794000,2159.95
1565899734000,2266.50
1565899674000,2105.15
1565899614000,2419.95
1565899554000,2212.35
1565899494000,2274.20
1565899434000,2331.68
1565899374000,2278.15
1565899314000,2320.95
1565899254000,1950.75
1565899194000,2149.82
1565899134000,2040.82
1565899074000,2004.92
1565899014000,2008.73
1565898954000,2114.20
1565898894000,2142.33
1565898834000,1956.70
1565898774000,2188.27
1565898714000,2071.33
1565898654000,2151.87
1565898594000,2097.60
1565898534000,2099.88
1565898474000,2229.57
1565898414000,2015.83
1565898354000,2105.07
1565898294000,2095.47
1565898234000,2120.10
1565898174000,2143.00
1565898114000,2097.07
1565898054000,2104.13
1565897994000,2008.43
1565897934000,2147.55
1565897874000,2053.18
1565897814000,2099.53
1565897754000,2176.72
1565897694000,2055.50
1565897634000,2257.82
1565897574000,2094.58
1565897514000,2212.32
1565897454000,2187.17
1565897394000,1973.30
1565897334000,2200.38
1565897274000,2099.80
1565897214000,2285.67
1565897154000,2092.13
1565897094000,2285.60
1565897034000,2304.52
1565896974000,2110.48
1565896914000,2258.85
1565896854000,2204.07
1565896794000,2305.57
1565896734000,2185.17
1565896674000,2181.80
1565896614000,2284.20
1565896554000,2029.38
1565896494000,2207.97
1565896434000,2069.10
1565896374000,2195.27
1565896314000,2061.98
1565896254000,2113.47
1565896194000,2111.22
1565896134000,1937.20
1565896074000,2157.75
1565896014000,2068.77
1565895954000,2224.47
1565895894000,2127.48
1565895834000,2169.80
1565895774000,2388.47
1565895714000,2131.17
1565895654000,2158.60
1565895594000,2057.53
1565895534000,2277.90
1565895474000,2035.48
1565895414000,2043.88
1565895354000,2135.38
1565895294000,1929.27
1565895234000,2053.65
1565895174000,2039.77
1565895114000,2125.05
1565895054000,2083.75
1565894994000,1953.03
1565894934000,2117.97
1565894874000,1931.03
1565894814000,2173.65
1565894754000,2175.55
1565894694000,2203.50
1565894634000,2094.72
1565894574000,2078.68
1565894514000,2218.80
1565894454000,2007.13
1565894394000,2181.03
1565894334000,2131.77
1565894274000,2196.42
1565894214000,2171.28
1565894154000,2216.42
1565894094000,2248.33
1565894034000,2180.50
1565893974000,2242.07
1565893914000,2355.25
1565893854000,2246.98
1565893794000,2220.18
1565893734000,2199.35
1565893674000,2192.63
1565893614000,2080.35
1565893554000,2148.08
1565893494000,2148.95
1565893434000,2186.77
1565893374000,2076.78
1565893314000,2146.58
1565893254000,2145.35
1565893194000,2020.92
1565893134000,2081.45
1565893074000,2186.38
1565893014000,2278.62
1565892954000,2278.48
1565892894000,2221.85
1565892834000,2295.58
1565892774000,2178.77
1565892714000,2271.38
1565892654000,2354.93
1565892594000,2374.28
1565892534000,2304.78
1565892474000,2396.03
1565892414000,2355.17
1565892354000,2258.60
1565892294000,2328.60
1565892234000,2316.83
1565892174000,2405.80
1565892114000,2337.37
1565892054000,2212.48
1565891994000,2088.68
1565891934000,2046.82
1565891874000,2063.35
1565891814000,2220.70
1565891754000,2243.78
1565891694000,2180.08
1565891634000,2195.22
1565891574000,2157.55
1565891514000,2076.67
1565891454000,2179.05
1565891394000,2154.73
1565891334000,2242.45
1565891274000,2228.63
1565891214000,2269.72
1565891154000,2193.10
1565891094000,2209.48
1565891034000,2211.27
1565890974000,2200.18
1565890914000,2304.80
1565890854000,2125.68
1565890794000,2265.42
1565890734000,2178.35
1565890674000,2135.33
1565890614000,2146.13
1565890554000,2309.23
1565890494000,2401.22
1565890434000,2336.02
1565890374000,2422.30
1565890314000,2282.15
1565890254000,2165.50
1565890194000,2273.83
1565890134000,2234.17
1565890074000,2295.73
1565890014000,2465.17
1565889954000,2225.93
1565889894000,2272.77
1565889834000,2335.07
1565889774000,2367.87
