ds,y
1565913594000,128.81
1565913534000,128.30
1565913474000,124.13
1565913414000,124.24
1565913354000,128.52
1565913294000,125.32
1565913234000,125.55
1565913174000,126.82
1565913114000,123.03
1565913054000,119.76
1565912994000,121.59
1565912934000,128.03
1565912874000,127.85
1565912814000,128.22
1565912754000,129.16
1565912694000,126.73
1565912634000,128.56
1565912574000,125.41
1565912514000,122.37
1565912454000,122.82
1565912394000,125.65
1565912334000,122.94
1565912274000,122.54
1565912214000,125.99
1565912154000,125.68
1565912094000,122.79
1565912034000,125.39
1565911974000,120.31
1565911914000,104.19
1565911854000,115.14
1565911794000,122.77
1565911734000,120.77
1565911674000,121.86
1565911614000,121.02
1565911554000,126.32
1565911494000,124.12
1565911434000,125.76
1565911374000,121.73
1565911314000,121.92
1565911254000,124.60
1565911194000,120.63
1565911134000,123.67
1565911074000,122.66
1565911014000,122.93
1565910954000,125.12
1565910894000,123.30
1565910834000,125.64
1565910774000,122.56
1565910714000,127.09
1565910654000,128.18
1565910594000,121.08
1565910534000,123.94
1565910474000,123.91
1565910414000,125.81
1565910354000,123.42
1565910294000,123.99
1565910234000,122.28
1565910174000,116.92
1565910114000,102.10
1565910054000,114.30
1565909994000,125.36
1565909934000,121.47
1565909874000,119.32
1565909814000,123.63
1565909754000,117.47
1565909694000,119.17
1565909634000,121.85
1565909574000,124.24
1565909514000,124.80
1565909454000,125.15
1565909394000,124.08
1565909334000,121.69
1565909274000,122.16
1565909214000,129.19
1565909154000,125.23
1565909094000,122.41
1565909034000,122.50
1565908974000,124.25
1565908914000,121.12
1565908854000,120.55
1565908794000,124.67
1565908734000,123.62
1565908674000,120.23
1565908614000,120.42
1565908554000,126.02
1565908494000,119.75
1565908434000,122.57
1565908374000,116.83
1565908314000,107.99
1565908254000,112.44
1565908194000,121.98
1565908134000,123.58
1565908074000,125.71
1565908014000,125.34
1565907954000,123.15
1565907894000,123.36
1565907834000,122.28
1565907774000,126.79
1565907714000,121.58
1565907654000,119.30
1565907594000,121.95
1565907534000,121.41
1565907474000,121.70
1565907414000,122.46
1565907354000,123.87
1565907294000,121.50
1565907234000,119.44
1565907174000,126.69
1565907114000,123.01
1565907054000,123.57
1565906994000,121.65
1565906934000,124.64
1565906874000,123.67
1565906814000,120.60
1565906754000,117.54
1565906694000,122.35
1565906634000,119.20
1565906574000,116.80
1565906514000,107.75
1565906454000,116.24
1565906394000,121.40
1565906334000,119.05
1565906274000,121.79
1565906214000,123.65
1565906154000,122.07
1565906094000,124.90
1565906034000,119.47
1565905974000,126.66
1565905914000,123.59
1565905854000,122.03
1565905794000,124.58
1565905734000,124.45
1565905674000,126.31
1565905614000,125.80
1565905554000,123.54
1565905494000,122.79
1565905434000,117.57
1565905374000,125.84
1565905314000,125.33
1565905254000,123.76
1565905194000,123.47
1565905134000,126.06
1565905074000,122.92
1565905014000,121.01
1565904954000,120.58
1565904894000,126.96
1565904834000,120.54
1565904774000,113.16
1565904714000,106.48
1565904654000,114.39
1565904594000,126.04
1565904534000,120.49
1565904474000,122.11
1565904414000,122.69
1565904354000,122.45
1565904294000,124.71
1565904234000,123.07
1565904174000,121.20
1565904114000,118.39
1565904054000,121.36
1565903994000,123.49
1565903934000,122.30
1565903874000,125.21
1565903814000,122.54
1565903754000,120.11
1565903694000,121.32
1565903634000,121.96
1565903574000,123.33
1565903514000,125.45
1565903454000,126.08
1565903394000,120.70
1565903334000,123.38
1565903274000,122.13
1565903214000,122.23
1565903154000,118.19
1565903094000,120.80
1565903034000,118.27
1565902974000,110.51
1565902914000,98.00
1565902854000,106.79
1565902794000,114.60
1565902734000,114.74
1565902674000,116.71
1565902614000,116.69
1565902554000,116.48
1565902494000,118.94
1565902434000,120.48
1565902374000,118.61
1565902314000,112.56
1565902254000,121.16
1565902194000,119.84
1565902134000,116.30
1565902074000,119.14
1565902014000,120.96
1565901954000,119.58
1565901894000,118.69
1565901834000,122.84
1565901774000,117.67
1565901714000,118.99
1565901654000,123.31
1565901594000,119.96
1565901534000,119.34
1565901474000,116.81
1565901414000,124.32
1565901354000,125.71
1565901294000,124.01
1565901234000,121.79
1565901174000,115.66
1565901114000,107.72
1565901054000,111.42
1565900994000,122.69
