ds,y
1565913594000,180.87
1565913534000,199.20
1565913474000,205.55
1565913414000,219.73
1565913354000,213.72
1565913294000,226.35
1565913234000,215.48
1565913174000,197.05
1565913114000,241.02
1565913054000,239.33
1565912994000,229.87
1565912934000,214.25
1565912874000,233.02
1565912814000,217.77
1565912754000,217.03
1565912694000,244.57
1565912634000,227.45
1565912574000,230.78
1565912514000,199.45
1565912454000,232.30
1565912394000,232.85
1565912334000,205.00
1565912274000,244.47
1565912214000,248.92
1565912154000,248.85
1565912094000,205.90
1565912034000,237.17
1565911974000,259.27
1565911914000,275.12
1565911854000,270.47
1565911794000,238.93
1565911734000,239.60
1565911674000,208.83
1565911614000,227.92
1565911554000,246.93
1565911494000,223.77
1565911434000,236.30
1565911374000,244.60
1565911314000,249.88
1565911254000,217.72
1565911194000,244.00
1565911134000,247.78
1565911074000,212.45
1565911014000,238.60
1565910954000,259.42
1565910894000,258.42
1565910834000,231.23
1565910774000,266.62
1565910714000,252.57
1565910654000,229.27
1565910594000,243.77
1565910534000,253.67
1565910474000,257.78
1565910414000,198.30
1565910354000,258.62
1565910294000,255.45
1565910234000,253.22
1565910174000,257.85
1565910114000,314.95
1565910054000,279.93
1565909994000,215.42
1565909934000,237.48
1565909874000,226.98
1565909814000,259.98
1565909754000,263.83
1565909694000,279.00
1565909634000,267.08
1565909574000,222.87
1565909514000,233.13
1565909454000,247.25
1565909394000,249.70
1565909334000,255.23
1565909274000,258.77
1565909214000,262.38
1565909154000,244.27
1565909094000,254.80
1565909034000,268.15
1565908974000,252.20
1565908914000,263.63
1565908854000,275.00
1565908794000,278.35
1565908734000,247.40
1565908674000,263.55
1565908614000,271.82
1565908554000,295.15
1565908494000,265.98
1565908434000,295.55
1565908374000,305.90
1565908314000,311.98
1565908254000,289.08
1565908194000,283.10
1565908134000,270.20
1565908074000,271.80
1565908014000,270.15
1565907954000,289.50
1565907894000,258.12
1565907834000,254.57
1565907774000,275.42
1565907714000,265.77
1565907654000,270.78
1565907594000,276.18
1565907534000,281.83
1565907474000,242.00
1565907414000,255.75
1565907354000,280.15
1565907294000,279.17
1565907234000,272.75
1565907174000,296.07
1565907114000,306.65
1565907054000,280.48
1565906994000,271.30
1565906934000,308.93
1565906874000,293.12
1565906814000,260.80
1565906754000,286.73
1565906694000,286.82
1565906634000,258.12
1565906574000,276.67
1565906514000,347.28
1565906454000,308.12
1565906394000,257.85
1565906334000,245.37
1565906274000,255.80
1565906214000,251.27
1565906154000,241.00
1565906094000,274.10
1565906034000,293.78
1565905974000,279.90
1565905914000,276.95
1565905854000,259.07
