ds,y
1565913594000,428.37
1565913534000,391.40
1565913474000,391.28
1565913414000,450.97
1565913354000,405.22
1565913294000,349.05
1565913234000,427.08
1565913174000,387.22
1565913114000,412.37
1565913054000,410.67
1565912994000,431.60
1565912934000,415.72
1565912874000,342.87
1565912814000,420.88
1565912754000,463.68
1565912694000,400.25
1565912634000,449.70
1565912574000,418.87
1565912514000,416.90
1565912454000,378.48
1565912394000,421.83
1565912334000,406.10
1565912274000,389.33
1565912214000,448.78
1565912154000,433.42
1565912094000,433.58
1565912034000,384.20
1565911974000,432.87
1565911914000,410.12
1565911854000,406.90
1565911794000,447.93
1565911734000,412.35
1565911674000,460.70
1565911614000,369.52
1565911554000,434.62
1565911494000,405.08
1565911434000,440.80
1565911374000,450.73
1565911314000,452.92
1565911254000,433.22
1565911194000,379.78
1565911134000,445.03
1565911074000,499.23
1565911014000,440.30
1565910954000,443.63
1565910894000,458.98
1565910834000,430.37
1565910774000,378.17
1565910714000,490.03
1565910654000,436.95
1565910594000,433.53
1565910534000,455.42
1565910474000,465.03
1565910414000,444.62
1565910354000,360.82
1565910294000,437.85
1565910234000,452.67
1565910174000,469.45
1565910114000,502.58
1565910054000,508.80
1565909994000,461.60
1565909934000,414.70
1565909874000,485.63
1565909814000,490.45
1565909754000,468.15
1565909694000,495.53
1565909634000,474.75
1565909574000,450.45
1565909514000,405.50
1565909454000,539.03
1565909394000,561.53
1565909334000,490.82
1565909274000,531.78
1565909214000,475.67
1565909154000,521.03
1565909094000,474.17
1565909034000,511.63
1565908974000,534.43
1565908914000,541.60
1565908854000,513.20
1565908794000,546.58
1565908734000,555.10
1565908674000,513.35
1565908614000,564.98
1565908554000,535.78
1565908494000,495.67
1565908434000,540.32
1565908374000,543.92
1565908314000,488.05
1565908254000,499.65
1565908194000,543.87
1565908134000,572.35
1565908074000,534.67
1565908014000,509.07
1565907954000,532.37
1565907894000,482.32
1565907834000,464.52
1565907774000,569.35
1565907714000,580.28
1565907654000,500.40
1565907594000,543.07
1565907534000,514.13
1565907474000,507.88
1565907414000,507.40
1565907354000,578.23
1565907294000,570.25
1565907234000,559.22
1565907174000,585.85
1565907114000,584.45
1565907054000,558.47
1565906994000,488.95
1565906934000,555.82
1565906874000,546.15
1565906814000,528.45
1565906754000,525.02
1565906694000,546.95
1565906634000,548.00
1565906574000,499.12
1565906514000,627.58
1565906454000,628.58
1565906394000,542.58
1565906334000,608.30
