ds,y
1565913594000,205.05
1565913534000,196.27
1565913474000,195.03
1565913414000,225.68
1565913354000,211.33
1565913294000,175.05
1565913234000,213.58
1565913174000,184.55
1565913114000,205.43
1565913054000,205.77
1565912994000,215.18
1565912934000,216.95
1565912874000,171.47
1565912814000,211.07
1565912754000,222.12
1565912694000,200.63
1565912634000,225.23
1565912574000,209.83
1565912514000,217.08
1565912454000,188.57
1565912394000,211.00
1565912334000,194.12
1565912274000,194.97
1565912214000,224.67
1565912154000,216.80
1565912094000,225.68
1565912034000,191.67
1565911974000,216.77
1565911914000,196.13
1565911854000,203.12
1565911794000,223.77
1565911734000,206.77
1565911674000,239.02
1565911614000,184.52
1565911554000,217.15
1565911494000,193.28
1565911434000,221.03
1565911374000,225.90
1565911314000,225.93
1565911254000,225.50
1565911194000,190.35
1565911134000,222.00
1565911074000,240.20
1565911014000,220.73
1565910954000,221.45
1565910894000,229.57
1565910834000,224.92
1565910774000,189.13
1565910714000,244.95
1565910654000,209.15
1565910594000,216.47
1565910534000,227.87
1565910474000,232.15
1565910414000,231.77
1565910354000,179.83
1565910294000,220.28
1565910234000,215.80
1565910174000,234.58
1565910114000,251.55
1565910054000,254.67
1565909994000,240.90
1565909934000,208.15
1565909874000,241.70
1565909814000,234.73
1565909754000,234.57
1565909694000,247.75
1565909634000,237.78
1565909574000,234.50
1565909514000,202.45
1565909454000,271.22
1565909394000,269.72
1565909334000,245.07
1565909274000,266.05
1565909214000,248.50
1565909154000,261.73
1565909094000,225.27
1565909034000,255.47
1565908974000,267.48
1565908914000,269.90
1565908854000,267.55
1565908794000,274.48
1565908734000,277.57
1565908674000,244.85
1565908614000,282.67
1565908554000,268.52
1565908494000,247.02
1565908434000,282.03
1565908374000,272.05
1565908314000,244.32
1565908254000,237.20
1565908194000,272.97
1565908134000,285.63
1565908074000,267.62
1565908014000,265.07
1565907954000,267.00
1565907894000,242.02
1565907834000,220.35
1565907774000,283.97
1565907714000,290.18
1565907654000,250.32
1565907594000,283.12
1565907534000,256.02
1565907474000,254.57
1565907414000,242.20
1565907354000,289.68
1565907294000,285.02
1565907234000,278.77
1565907174000,305.43
1565907114000,292.08
1565907054000,267.67
1565906994000,244.32
1565906934000,278.53
1565906874000,272.55
1565906814000,264.22
1565906754000,272.65
1565906694000,275.15
1565906634000,262.37
1565906574000,248.92
1565906514000,313.38
1565906454000,314.90
1565906394000,271.68
1565906334000,316.57
1565906274000,303.67
1565906214000,280.85
1565906154000,255.55
1565906094000,309.13
1565906034000,312.40
1565905974000,292.10
1565905914000,312.80
1565905854000,303.12
1565905794000,294.07
1565905734000,255.20
1565905674000,308.75
1565905614000,310.20
1565905554000,298.00
1565905494000,307.32
1565905434000,302.95
1565905374000,276.83
1565905314000,244.13
1565905254000,305.32
1565905194000,300.90
1565905134000,274.80
1565905074000,286.40
1565905014000,317.80
1565904954000,282.10
1565904894000,249.45
1565904834000,335.57
1565904774000,319.00
1565904714000,304.20
1565904654000,313.43
1565904594000,301.35
1565904534000,267.85
1565904474000,257.53
1565904414000,303.57
1565904354000,306.58
1565904294000,292.92
1565904234000,306.87
1565904174000,323.03
1565904114000,288.75
1565904054000,256.93
1565903994000,294.82
1565903934000,289.42
1565903874000,297.90
1565903814000,318.83
1565903754000,314.68
1565903694000,301.18
1565903634000,267.53
1565903574000,314.17
1565903514000,324.12
1565903454000,290.33
1565903394000,309.38
1565903334000,299.43
1565903274000,270.52
1565903214000,252.03
1565903154000,306.63
1565903094000,298.92
1565903034000,286.88
1565902974000,312.07
1565902914000,293.78
1565902854000,268.97
1565902794000,247.40
1565902734000,299.83
1565902674000,314.73
1565902614000,281.77
1565902554000,312.73
1565902494000,315.63
1565902434000,283.83
1565902374000,263.88
1565902314000,330.17
1565902254000,309.88
1565902194000,288.60
1565902134000,280.62
1565902074000,290.72
1565902014000,259.18
1565901954000,253.33
1565901894000,273.00
1565901834000,271.07
1565901774000,281.15
1565901714000,325.32
1565901654000,320.92
1565901594000,309.70
1565901534000,254.88
1565901474000,315.03
1565901414000,332.20
1565901354000,297.17
1565901294000,309.77
1565901234000,340.07
1565901174000,319.12
1565901114000,243.98
1565901054000,312.72
1565900994000,295.43
1565900934000,290.85
1565900874000,293.32
1565900814000,304.47
1565900754000,299.03
1565900694000,249.63
1565900634000,322.38
1565900574000,308.65
1565900514000,297.97
1565900454000,312.25
1565900394000,329.17
1565900334000,317.45
1565900274000,266.88
1565900214000,334.73
1565900154000,328.00
1565900094000,307.20
1565900034000,356.72
1565899974000,346.53
1565899914000,351.07
1565899854000,259.85
1565899794000,325.87
1565899734000,344.43
1565899674000,329.05
1565899614000,370.65
1565899554000,329.85
1565899494000,329.15
1565899434000,246.95
1565899374000,345.80
1565899314000,335.83
1565899254000,298.10
1565899194000,300.40
1565899134000,315.57
1565899074000,327.07
1565899014000,234.73
1565898954000,321.20
1565898894000,327.83
1565898834000,291.50
1565898774000,314.73
1565898714000,327.48
1565898654000,322.47
1565898594000,232.97
1565898534000,324.15
1565898474000,326.27
1565898414000,306.17
1565898354000,321.17
1565898294000,334.22
1565898234000,341.85
1565898174000,238.78
1565898114000,328.75
1565898054000,317.93
1565897994000,295.77
1565897934000,327.03
1565897874000,329.75
1565897814000,334.62
1565897754000,245.05
