ds,y
1565913594000,177.69
1565913534000,187.56
1565913474000,205.17
1565913414000,176.15
1565913354000,177.79
1565913294000,185.59
1565913234000,185.75
1565913174000,186.91
1565913114000,193.58
1565913054000,191.56
1565912994000,182.58
1565912934000,189.42
1565912874000,181.61
1565912814000,179.40
1565912754000,169.51
1565912694000,174.17
1565912634000,172.70
1565912574000,189.95
1565912514000,182.08
1565912454000,175.52
1565912394000,178.53
1565912334000,181.69
1565912274000,195.74
1565912214000,182.23
1565912154000,177.13
1565912094000,182.88
1565912034000,178.95
1565911974000,181.16
1565911914000,205.18
1565911854000,204.10
1565911794000,183.09
1565911734000,191.82
1565911674000,183.92
1565911614000,192.16
1565911554000,203.71
1565911494000,190.20
1565911434000,172.49
1565911374000,186.81
1565911314000,183.98
1565911254000,173.99
1565911194000,173.39
1565911134000,181.96
1565911074000,182.16
1565911014000,180.84
1565910954000,187.99
1565910894000,187.98
1565910834000,187.58
1565910774000,203.71
1565910714000,189.24
1565910654000,195.23
1565910594000,186.73
1565910534000,183.46
1565910474000,181.24
1565910414000,187.48
1565910354000,208.42
1565910294000,193.01
1565910234000,177.85
1565910174000,173.12
1565910114000,184.84
1565910054000,183.35
1565909994000,174.19
1565909934000,169.25
1565909874000,179.69
1565909814000,181.77
1565909754000,160.76
1565909694000,165.81
1565909634000,167.43
1565909574000,166.23
1565909514000,170.89
1565909454000,161.03
1565909394000,176.35
1565909334000,168.65
1565909274000,174.19
1565909214000,165.80
1565909154000,173.07
1565909094000,168.72
1565909034000,174.12
1565908974000,168.18
1565908914000,173.76
1565908854000,162.97
1565908794000,170.55
1565908734000,171.14
1565908674000,188.98
1565908614000,175.23
1565908554000,171.98
1565908494000,168.57
1565908434000,171.77
1565908374000,164.44
1565908314000,168.48
1565908254000,163.18
1565908194000,165.03
1565908134000,162.37
1565908074000,158.59
1565908014000,171.97
1565907954000,176.55
1565907894000,164.30
1565907834000,169.29
1565907774000,170.86
1565907714000,177.08
1565907654000,172.76
1565907594000,183.63
1565907534000,174.66
1565907474000,174.37
1565907414000,166.99
1565907354000,168.74
1565907294000,160.48
1565907234000,163.46
1565907174000,161.28
1565907114000,166.28
1565907054000,166.67
1565906994000,173.25
1565906934000,175.48
1565906874000,176.30
1565906814000,167.54
1565906754000,174.28
1565906694000,174.39
1565906634000,177.67
1565906574000,174.05
1565906514000,168.68
1565906454000,165.16
1565906394000,158.71
1565906334000,156.42
1565906274000,168.31
1565906214000,157.63
1565906154000,161.97
1565906094000,173.43
1565906034000,167.26
1565905974000,170.26
1565905914000,173.58
1565905854000,167.57
1565905794000,160.55
1565905734000,176.27
1565905674000,174.71
1565905614000,170.86
1565905554000,160.85
1565905494000,176.87
1565905434000,171.48
1565905374000,174.13
1565905314000,167.26
1565905254000,164.23
1565905194000,159.69
